AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,560.0,11.1,0.823,0.59,,,90.83,188920.0,7.3,31.58,42.32,62.02,105.73,#,"65,680","88,030",129010.0,"219,920",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,47460.0,0.011799410029498525,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,105795200.0,False,False,0.0,0.03388443713871803,111,111
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,19570.0,3.3,28.981,1.25,,,66.88,139120.0,1.8,28.52,36.84,50.00,79.54,#,"59,330","76,620",103990.0,"165,450",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,47460.0,0.4123472397808681,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,2722578400.0,False,False,0.0,1.0,111,111
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,110.0,16.3,0.161,0.75,,,*,67160.0,3.7,*,*,*,*,*,"16,510","19,400",43010.0,"93,560","162,860",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,47460.0,0.002317741255794353,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,7387600.0,False,False,0.0,0.002065011591036975,111,111
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,140.0,16.3,0.201,1.48,,,64.66,134490.0,10.2,23.61,30.75,65.79,96.83,101.75,"49,100","63,960",136840.0,"201,400","211,640",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,47460.0,0.0029498525073746312,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,18828600.0,False,False,0.0,0.006506130265819578,112,112
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1340.0,7.2,1.987,0.82,,,77.24,160670.0,4.2,45.11,55.16,72.44,93.46,#,"93,820","114,730",150670.0,"194,410",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,47460.0,0.028234302570585755,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,215297800.0,True,False,100.0,0.10189098155233917,112,112
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,2160.0,6.0,3.199,0.84,,,82.62,171850.0,2.8,37.82,57.59,69.71,100.46,#,"78,670","119,780",145000.0,"208,960",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,47460.0,0.045512010113780026,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,371196000.0,False,False,0.0,0.13311291930023728,112,112
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,220.0,5.0,0.322,0.67,,,70.92,147510.0,2.2,41.29,49.82,64.21,83.11,108.93,"85,870","103,620",133560.0,"172,860","226,570",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,47460.0,0.004635482511588706,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,32452200.0,False,False,0.0,0.010995540810527402,112,112
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,270.0,5.4,0.396,1.89,,,65.32,135860.0,1.2,38.87,46.02,54.89,80.92,94.45,"80,840","95,730",114170.0,"168,310","196,450",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,47460.0,0.005689001264222503,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,36682200.0,False,False,0.0,0.01184644024193264,112,112
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,690.0,5.7,1.025,0.64,,,58.18,121020.0,2.1,32.67,42.04,54.04,66.93,87.55,"67,950","87,430",112410.0,"139,220","182,100",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,47460.0,0.014538558786346398,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,83503800.0,False,False,0.0,0.029025504973062114,113,113
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,600.0,4.1,0.888,1.03,,,53.40,111080.0,1.5,30.99,39.61,50.26,64.15,79.79,"64,450","82,390",104540.0,"133,420","165,970",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,47460.0,0.012642225031605562,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,66648000.0,False,False,0.0,0.023089379352035668,113,113
