minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,66450.0,12236215700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,32210.0,6056918200.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,2311623000.0,0.0,38.16500278970253,0.0,38.16500278970253,0.0
113,113,99240.0,18611342000.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,5720796800.0,0.0,30.73822833409864,0.0,30.73822833409864,0.0
119,119,99410.0,14977162600.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",3062847900.0,0.0,20.450121173151985,0.0,20.450121173151985,0.0
131,131,186160.0,18682894000.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,2370812000.0,0.0,12.689747102349347,0.0,12.689747102349347,0.0
132,132,95040.0,10864826600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,492820800.0,0.0,4.535928810865697,0.0,4.535928810865697,0.0
151,151,151590.0,18023116400.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",16238879600.0,8118590100.0,90.10028698477474,45.045428991403504,45.054857993371236,2.6317966627993132
152,152,10350.0,1296441600.0,54.73437095111935,41.05077821333951,5,0,0.0,0.0,"152021,152031,152041,152051,152099",1067338600.0,0.0,82.32832084376189,0.0,82.32832084376189,0.0
171,171,3760.0,367058600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",271796100.0,0.0,74.04705951583752,0.0,74.04705951583752,0.0
172,172,35820.0,4083727200.0,50.88750041894734,38.165625314210516,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",2192236400.0,0.0,53.68224400493745,0.0,53.68224400493745,0.0
173,173,10790.0,752891000.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",151023300.0,0.0,20.05911878346268,0.0,20.05911878346268,0.0
191,191,11280.0,1244160500.0,46.222613354573625,34.66696001593022,2,0,0.0,0.0,"191012,191029",176159500.0,0.0,14.15890473938049,0.0,14.15890473938049,0.0
192,192,11980.0,1183578800.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",179842400.0,0.0,15.19479733837747,0.0,15.19479733837747,0.0
193,193,6080.0,679563800.0,37.79504088822264,28.34628066616698,2,0,0.0,0.0,"193011,193099",50309800.0,0.0,7.4032489664693735,0.0,7.4032489664693735,0.0
194,194,8130.0,467509600.0,43.066840410406584,32.30013030780494,2,0,0.0,0.0,"194031,194061",194922900.0,0.0,41.69388179408509,0.0,41.69388179408509,0.0
195,195,3130.0,273424200.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,68520.0,4584312700.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,2320.0,154579300.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,27500.0,4779136300.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
