minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,17390.0,2086990000.0,38.071722653102334,28.55379198982675,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1790.0,226792700.0,44.62230728515874,33.466730463869055,1,0,0.0,0.0,112021,60899400.0,0.0,26.852451600073547,0.0,26.852451600073547,0.0
113,113,8030.0,986641300.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,200986500.0,0.0,20.37077710004639,0.0,20.37077710004639,0.0
119,119,17530.0,1993125900.0,36.34045479907299,27.255341099304733,2,0,0.0,0.0,"119041,119121",417437700.0,0.0,20.943870128826283,0.0,20.943870128826283,0.0
131,131,31580.0,2469429700.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,262866300.0,0.0,10.644818113267204,0.0,10.644818113267204,0.0
132,132,12860.0,1010162500.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,55091400.0,0.0,5.45371660500167,0.0,5.45371660500167,0.0
151,151,18440.0,1773330300.0,67.31493328200389,50.48619996150291,12,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151255",1588796900.0,605105200.0,89.59396340320808,34.12253205169956,55.47143135150852,1.3018979034060039
152,152,1100.0,90015200.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",90015200.0,0.0,100.0,0.0,100.0,0.0
171,171,980.0,76927000.0,45.412046508744346,34.059034881558254,2,0,0.0,0.0,"171011,171012",57061000.0,0.0,74.17551704863052,0.0,74.17551704863052,0.0
172,172,11130.0,1428196000.0,50.37118062844551,37.77838547133412,8,0,0.0,0.0,"172011,172031,172071,172072,172141,172161,172171,172199",1097518600.0,0.0,76.84649725947979,0.0,76.84649725947979,0.0
