minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111021,General and Operations Managers,17200.0,120760.0,2077072000.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,190.0,52200.0,9918000.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,100.0,146000.0,14600000.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,460.0,132390.0,60899400.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,1110.0,122870.0,136385700.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,120.0,124230.0,14907600.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
113,113,113012,Administrative Services Managers,1550.0,111720.0,173166000.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,530.0,102000.0,54060000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,1430.0,140550.0,200986500.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,2590.0,128820.0,333643800.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,600.0,124550.0,74730000.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,180.0,131470.0,23664600.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",460.0,91240.0,41970400.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113121,Human Resources Managers,600.0,124620.0,74772000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,90.0,107200.0,9648000.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119021,Construction Managers,1270.0,101050.0,128333500.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",310.0,61750.0,19142500.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",1990.0,98400.0,195816000.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",1020.0,112380.0,114627600.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",,88870.0,,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,1790.0,203850.0,364891500.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,1580.0,62170.0,98228600.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119071,Gambling Managers,60.0,103360.0,6201600.0,38.44117647058824,False,0.0,28.830882352941178,False,0.0,0.0
119,119,119081,Lodging Managers,430.0,72200.0,31046000.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,2600.0,130790.0,340054000.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,420.0,125110.0,52546200.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,150.0,82190.0,12328500.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",1240.0,69250.0,85870000.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,1150.0,80380.0,92437000.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,130.0,118110.0,15354300.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119171,Funeral Home Managers,60.0,71350.0,4281000.0,29.941176470588232,False,0.0,22.455882352941174,False,0.0,0.0
119,119,119199,"Managers, All Other",3330.0,129720.0,431967600.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
