AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,17200.0,2.3,20.338,0.88,,,58.06,120760.0,2.2,23.58,33.51,47.59,65.17,94.59,"49,050","69,700",98990.0,"135,560","196,760",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,44740.0,0.3844434510505141,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,2077072000.0,False,False,0.0,1.0,111,111
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,190.0,10.3,0.221,1.03,,,*,52200.0,5.6,*,*,*,*,*,"24,960","27,830",33390.0,"60,210","96,390",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,44740.0,0.0042467590523021905,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,9918000.0,False,False,0.0,0.003633892440132314,111,111
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,100.0,30.1,0.122,0.90,,,70.19,146000.0,8.6,33.61,45.96,72.11,96.52,102.53,"69,910","95,590",149990.0,"200,760","213,250",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,44740.0,0.002235136343316942,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,14600000.0,False,False,0.0,0.006612815781704807,112,112
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,460.0,9.0,0.549,0.23,,,63.65,132390.0,5.1,36.24,44.31,55.91,73.61,98.62,"75,390","92,160",116290.0,"153,110","205,140",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,44740.0,0.010281627179257935,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,60899400.0,True,False,100.0,0.037777917266640884,112,112
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1110.0,6.7,1.315,0.35,,,59.07,122870.0,2.6,28.48,37.32,50.49,74.64,98.55,"59,240","77,620",105010.0,"155,250","204,990",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,44740.0,0.02481001341081806,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,136385700.0,False,False,0.0,0.06410835023462198,112,112
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,120.0,7.1,0.141,0.30,,,59.73,124230.0,2.2,37.26,42.73,50.53,75.23,101.58,"77,500","88,880",105090.0,"156,480","211,290",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,44740.0,0.002682163611980331,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,14907600.0,False,False,0.0,0.0066207779960618975,112,112
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,1550.0,4.6,1.834,1.15,,,53.71,111720.0,1.1,32.79,40.74,48.72,66.12,79.06,"68,190","84,740",101340.0,"137,530","164,450",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,44740.0,0.03464461332141261,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,173166000.0,False,False,0.0,0.07889782179418252,113,113
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,530.0,7.9,0.630,0.73,,,49.04,102000.0,1.6,32.05,40.23,47.86,55.16,68.38,"66,660","83,680",99540.0,"114,740","142,240",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,44740.0,0.011846222619579794,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,54060000.0,False,False,0.0,0.024548786136182114,113,113
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1430.0,4.9,1.690,0.43,,,67.57,140550.0,1.9,41.21,49.96,61.89,81.32,101.29,"85,710","103,930",128730.0,"169,140","210,680",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,44740.0,0.031962449709432274,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,200986500.0,True,False,100.0,0.12470848748977348,113,113
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,2590.0,3.6,3.065,0.59,,,61.93,128820.0,1.1,37.48,44.28,55.29,70.10,94.92,"77,950","92,100",115000.0,"145,810","197,440",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,44740.0,0.057890031291908804,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,333643800.0,False,False,0.0,0.16138944072111044,113,113
