AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,7630.0,10.3,0.812,0.58,,,155.84,324150.0,6.7,51.73,77.33,102.38,#,#,"107,600","160,850",212960.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,597190.0,0.012776503290410086,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,2473264500.0,False,False,0.0,0.06143147353643336,111,111
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,212770.0,1.0,22.652,0.98,,,79.33,165000.0,1.7,27.92,38.75,60.74,98.19,#,"58,080","80,590",126330.0,"204,230",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,597190.0,0.3562852693447646,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,35107050000.0,False,False,0.0,1.0,111,111
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,1990.0,10.3,0.212,0.99,,,*,105360.0,3.0,*,*,*,*,*,"32,040","51,720",98530.0,"109,990","208,030",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,597190.0,0.0033322728109981747,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,209666400.0,False,False,0.0,0.004545001347503523,111,111
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,3830.0,6.1,0.407,3.00,,,103.88,216080.0,2.2,52.70,75.37,99.08,#,#,"109,610","156,770",206090.0,#,#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,597190.0,0.0064133692794587985,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,827586400.0,False,False,0.0,0.022177067953980636,112,112
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,45000.0,5.2,4.791,1.97,,,92.63,192670.0,2.7,47.74,63.24,83.31,106.76,#,"99,300","131,540",173290.0,"222,060",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,597190.0,0.07535290276126526,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,8670150000.0,True,False,100.0,0.3182063352977867,112,112
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,32870.0,5.1,3.499,0.92,,,118.65,246790.0,1.0,51.56,75.00,102.89,#,#,"107,240","156,000",214010.0,#,#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,597190.0,0.05504110919472865,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,8111987300.0,False,False,0.0,0.2255953997031455,112,112
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,6960.0,7.2,0.742,1.55,,,102.92,214080.0,4.5,50.54,64.65,85.79,#,#,"105,120","134,460",178440.0,#,#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,597190.0,0.01165458229374236,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,1489996800.0,False,False,0.0,0.0391510887219529,112,112
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,3730.0,5.5,0.397,1.89,,,85.37,177580.0,1.9,50.18,62.31,79.84,101.73,#,"104,380","129,600",166070.0,"211,600",#,,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,597190.0,0.006245918384433765,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,662373400.0,False,False,0.0,0.016589046860093947,112,112
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,,**,**,**,,,65.88,137020.0,4.1,26.92,40.69,60.26,81.58,106.06,"55,990","84,640",125340.0,"169,690","220,610",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,597190.0,,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,,False,False,0.0,,113,113
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,8960.0,2.9,0.954,1.10,,,65.14,135490.0,0.9,35.83,45.16,60.44,78.53,100.38,"74,520","93,940",125720.0,"163,340","208,790",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,597190.0,0.015003600194243039,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,1213990400.0,False,False,0.0,0.03261568071098723,113,113
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,39190.0,1.6,4.173,1.07,,,102.85,213930.0,1.0,59.01,77.85,99.52,#,#,"122,740","161,920",207000.0,#,#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,597190.0,0.06562400576031079,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,8383916700.0,True,False,100.0,0.3077749664751459,113,113
36,New York,2,NY,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,62800.0,2.3,6.686,1.29,,,115.94,241150.0,1.2,53.41,74.52,103.57,#,#,"111,090","154,990",215430.0,#,#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,597190.0,0.10515916207572129,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,15144220000.0,False,False,0.0,0.4334072592432747,113,113
