minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,73060.0,10039161000.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,27500.0,4175913400.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1642784000.0,0.0,39.33951312304513,0.0,39.33951312304513,0.0
113,113,81180.0,12075713200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,3816708600.0,0.0,31.606485983784378,0.0,31.606485983784378,0.0
119,119,109630.0,12466301300.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",2031149400.0,0.0,16.293119756378744,0.0,16.293119756378744,0.0
131,131,217900.0,18001954100.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,2347137800.0,0.0,13.03823899873181,0.0,13.03823899873181,0.0
132,132,106050.0,10196540300.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,265118400.0,0.0,2.6000819120971843,0.0,2.6000819120971843,0.0
151,151,168590.0,18440101500.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",17339152100.0,8514297400.0,94.02959143147883,46.17272524232038,47.85686618915845,3.0002653147588645
152,152,11380.0,1368450200.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",1285826600.0,0.0,93.96225014253349,0.0,93.96225014253349,0.0
171,171,6590.0,519022600.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",345972200.0,0.0,66.6584075529659,0.0,66.6584075529659,0.0
172,172,44490.0,4508270200.0,50.29861153005846,37.72395864754385,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",2221022000.0,0.0,49.26550320786008,0.0,49.26550320786008,0.0
173,173,20890.0,1229915300.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",199109500.0,0.0,16.188879022807505,0.0,16.188879022807505,0.0
191,191,12470.0,1202036700.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",403007200.0,0.0,33.527029582374645,0.0,33.527029582374645,0.0
192,192,10740.0,917703900.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",176516500.0,0.0,19.234581001562702,0.0,19.234581001562702,0.0
193,193,7830.0,673468400.0,38.907924871646244,29.180943653734687,2,0,0.0,0.0,"193011,193099",129705900.0,0.0,19.259389156195006,0.0,19.259389156195006,0.0
194,194,12460.0,705641100.0,42.98357669514087,32.23768252135565,2,0,0.0,0.0,"194031,194061",272225600.0,0.0,38.57847849282022,0.0,38.57847849282022,0.0
195,195,3860.0,308901500.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,59230.0,3182990500.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,2240.0,116783700.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,16490.0,2704050900.0,38.13899227670071,28.604244207525532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,13350.0,794104500.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,52830.0,4877445450.0,29.89293633686273,22.419702252647046,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,127350.0,6482343900.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,47397600.0,0.0,0.7311799671720595,0.0,0.7311799671720595,0.0
253,253,38630.0,1562277300.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,7980.0,429319900.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,18779200.0,0.0,4.374174129827199,0.0,4.374174129827199,0.0
259,259,45770.0,1741244700.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,18980.0,1067950700.0,45.5520848271379,34.16406362035344,3,0,0.0,0.0,"271021,271022,271027",120425700.0,0.0,11.276335134196739,0.0,11.276335134196739,0.0
272,272,12860.0,785576550.0,28.961841907528093,21.721381430646066,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,18140.0,1270818900.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4710.0,249231400.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,197900.0,22248132400.0,21.588160328723067,16.1911202465423,1,0,0.0,0.0,291129,29866200.0,0.0,0.13424138018883777,0.0,0.13424138018883777,0.0
292,292,100390.0,5250171400.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3110.0,177400800.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,117060.0,3773894600.0,31.968098350451296,23.97607376283847,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,5840.0,363611100.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,55510.0,2371316600.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,12080.0,854519000.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,17490.0,711425800.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,37060.0,2016085900.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,36880.0,1333276300.0,36.894130379424496,27.670597784568375,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,42760.0,1874399500.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,180830.0,5091964400.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,165020.0,4942236400.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,37080.0,990872700.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,327879900.0,0.0,33.09001247082496,0.0,33.09001247082496,0.0
371,371,10290.0,501007500.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,90130.0,2828404200.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
