AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,1720.0,3.2,0.360,0.26,,,162.17,337320.0,2.7,55.35,86.99,#,#,#,"115,130","180,940",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,291370.0,0.005903147201153173,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,580190400.0,False,False,0.0,0.032710476128823274,111,111
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,71340.0,1.1,14.878,0.64,,,63.75,132590.0,0.7,23.99,34.23,50.27,78.95,#,"49,900","71,190",104570.0,"164,220",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,291370.0,0.2448433263548066,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,9458970600.0,False,False,0.0,0.6115690463365373,111,111
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,170.0,14.9,0.035,0.26,,,70.96,147600.0,5.9,36.63,55.20,64.27,81.50,105.29,"76,200","114,820",133690.0,"169,510","219,000",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,291370.0,0.0005834505954628136,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,25092000.0,False,False,0.0,0.001526237145703429,112,112
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,10400.0,2.0,2.170,0.89,,,75.94,157960.0,1.1,39.44,51.77,69.14,87.80,112.21,"82,030","107,680",143800.0,"182,630","233,400",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,291370.0,0.03569344819301919,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1642784000.0,True,False,100.0,0.13685435856127562,112,112
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,14480.0,2.2,3.020,0.80,,,72.18,150130.0,2.4,25.59,36.52,60.23,89.64,#,"53,220","75,960",125270.0,"186,450",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,291370.0,0.04969626248412671,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,2173882400.0,False,False,0.0,0.13722555061469754,112,112
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1370.0,4.0,0.285,0.59,,,71.34,148380.0,2.4,38.32,46.25,61.15,82.87,#,"79,710","96,190",127180.0,"172,370",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,291370.0,0.004701925386965027,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,203280600.0,False,False,0.0,0.012124124852624499,112,112
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,1080.0,7.1,0.224,1.07,,,58.26,121180.0,4.2,31.41,39.47,49.82,69.40,96.04,"65,330","82,100",103630.0,"144,350","199,760",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,291370.0,0.0037066273123519925,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,130874400.0,False,False,0.0,0.0074399362185191345,112,112
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,7150.0,2.7,1.492,0.93,,,52.28,108740.0,1.0,27.58,35.92,47.93,63.42,82.53,"57,370","74,720",99690.0,"131,910","171,660",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,291370.0,0.024539245632700688,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,777491000.0,False,False,0.0,0.0475719474463896,113,113
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,3520.0,3.5,0.735,0.85,,,50.56,105160.0,1.2,27.90,35.69,47.17,61.69,78.09,"58,030","74,240",98110.0,"128,320","162,430",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,291370.0,0.012080859388406494,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,370163200.0,False,False,0.0,0.022573577576362826,113,113
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,21660.0,1.8,4.516,1.16,,,84.72,176210.0,1.9,49.40,62.72,78.95,97.84,#,"102,750","130,450",164210.0,"203,500",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,291370.0,0.07433846998661496,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,3816708600.0,True,False,100.0,0.318032351092524,113,113
