minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,11520.0,1259550400.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,660.0,85316600.0,45.9373175835423,34.45298818765673,1,0,0.0,0.0,112021,27516000.0,0.0,32.25163684441246,0.0,32.25163684441246,0.0
113,113,4100.0,556565700.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,87820800.0,0.0,15.779053578041191,0.0,15.779053578041191,0.0
119,119,7760.0,809553200.0,36.552064861059215,27.414048645794406,2,0,0.0,0.0,"119041,119121",59246200.0,0.0,7.31838253495879,0.0,7.31838253495879,0.0
131,131,11870.0,895831500.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,69976800.0,0.0,7.811379707009633,0.0,7.811379707009633,0.0
132,132,7990.0,642053400.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,13246200.0,0.0,2.063099424440397,0.0,2.063099424440397,0.0
151,151,7270.0,622684100.0,68.19944353771909,51.149582653289315,12,2,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",494814200.0,208855300.0,79.46472376603161,33.5411326545836,45.92359111144801,0.8709369860700407
152,152,450.0,42437100.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",42437100.0,0.0,100.0,0.0,100.0,0.0
171,171,500.0,38155000.0,41.29243951101567,30.969329633261754,1,0,0.0,0.0,171011,16174000.0,0.0,42.39025029484995,0.0,42.39025029484995,0.0
172,172,3700.0,351163900.0,51.03295685124979,38.274717638437345,7,0,0.0,0.0,"172031,172061,172071,172072,172141,172171,172199",156288300.0,0.0,44.50579914393251,0.0,44.50579914393251,0.0
173,173,1520.0,95381900.0,44.56547396910343,33.42410547682758,1,0,0.0,0.0,173023,13207300.0,0.0,13.846757089133263,0.0,13.846757089133263,0.0
191,191,1190.0,88893100.0,45.68508942659558,34.26381706994668,1,0,0.0,0.0,191029,15376000.0,0.0,17.29718054607163,0.0,17.29718054607163,0.0
192,192,470.0,39067900.0,48.68640065875117,36.51480049406338,3,0,0.0,0.0,"192021,192042,192043",13643600.0,0.0,34.92278827374904,0.0,34.92278827374904,0.0
193,193,520.0,42626600.0,32.89726554789832,24.672949160923743,1,0,0.0,0.0,193099,7044000.0,0.0,16.52489290724571,0.0,16.52489290724571,0.0
194,194,690.0,37144300.0,41.14784360713982,30.86088270535487,1,0,0.0,0.0,194031,4077600.0,0.0,10.977727403666242,0.0,10.977727403666242,0.0
