minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,151570.0,18029882900.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,25240.0,3684835400.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1133835000.0,0.0,30.770302521518328,0.0,30.770302521518328,0.0
113,113,85110.0,11317567200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,2253089400.0,0.0,19.90789504656089,0.0,19.90789504656089,0.0
119,119,102760.0,10119710500.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",1143979100.0,0.0,11.304464687996758,0.0,11.304464687996758,0.0
131,131,235630.0,18519839400.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,2507697600.0,0.0,13.540601221412318,0.0,13.540601221412318,0.0
132,132,104900.0,8962244000.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,445821000.0,0.0,4.9744349740980045,0.0,4.9744349740980045,0.0
151,151,142160.0,13654412300.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",12304454900.0,5157822500.0,90.11339799663146,37.774035137345315,52.33936285928615,1.57937027910039
152,152,9940.0,978248900.0,54.73437095111935,41.05077821333951,5,0,0.0,0.0,"152021,152031,152041,152051,152099",812249600.0,0.0,83.03097504121905,0.0,83.03097504121905,0.0
171,171,4820.0,426640800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",344776500.0,0.0,80.81189140841664,0.0,80.81189140841664,0.0
172,172,69620.0,7131512100.0,50.756512288152315,38.06738421611424,10,0,0.0,0.0,"172011,172021,172031,172061,172071,172072,172141,172161,172171,172199",3934016200.0,0.0,55.163843864192565,0.0,55.163843864192565,0.0
