minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,5360.0,232120.0,1244163200.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,143080.0,115950.0,16590126000.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,3130.0,62490.0,195593700.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,190.0,113960.0,21652400.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,8070.0,140500.0,1133835000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,15110.0,151900.0,2295209000.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,960.0,136420.0,130963200.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,910.0,113380.0,103175800.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,7020.0,101170.0,710213400.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,4770.0,100190.0,477906300.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,13670.0,164820.0,2253089400.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,28650.0,149310.0,4277731500.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,13680.0,108800.0,1488384000.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,2360.0,135190.0,319048400.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",7980.0,104900.0,837102000.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,290.0,155660.0,45141400.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,5950.0,138180.0,822171000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,740.0,117270.0,86779800.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",90.0,56630.0,5096700.0,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,14010.0,100000.0,1401000000.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",2300.0,52450.0,120635000.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",11240.0,97180.0,1092303200.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",6770.0,105040.0,711120800.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",1600.0,75170.0,120272000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,6480.0,156870.0,1016517600.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,12390.0,61070.0,756657300.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119071,Gambling Managers,70.0,100570.0,7039900.0,38.44117647058824,False,0.0,28.830882352941178,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",1040.0,63310.0,65842400.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,1590.0,57580.0,91552200.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,19080.0,118940.0,2269375200.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,950.0,134170.0,127461500.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
