AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,5360.0,3.7,0.980,0.70,,,111.60,232120.0,2.5,34.01,59.98,84.58,#,#,"70,730","124,760",175930.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,364680.0,0.014697817264451025,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1244163200.0,False,False,0.0,0.0653946731940903,111,111
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,143080.0,0.9,26.161,1.13,,,55.75,115950.0,0.6,21.15,29.18,45.14,66.98,101.35,"43,990","60,690",93880.0,"139,320","210,800",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,364680.0,0.39234397279806954,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,16590126000.0,False,False,0.0,1.0,111,111
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,3130.0,8.8,0.572,2.68,,,*,62490.0,1.1,*,*,*,*,*,"21,010","21,980",38890.0,"75,200","125,150",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,364680.0,0.008582867171218603,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,195593700.0,False,False,0.0,0.008972318741949053,111,111
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,190.0,14.1,0.035,0.25,,,54.79,113960.0,5.6,30.27,33.79,47.80,67.61,81.92,"62,970","70,280",99420.0,"140,620","170,390",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,364680.0,0.000521004716463749,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,21652400.0,False,False,0.0,0.0012278391502054057,112,112
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,8070.0,2.5,1.476,0.61,,,67.55,140500.0,0.7,35.98,47.45,63.46,82.67,103.30,"74,850","98,700",132000.0,"171,950","214,860",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,364680.0,0.022128989799276078,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1133835000.0,True,False,100.0,0.0880596029790914,112,112
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,15110.0,2.3,2.763,0.73,,,73.03,151900.0,2.5,32.47,45.32,64.64,86.43,#,"67,540","94,270",134440.0,"179,780",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,364680.0,0.041433585609301306,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,2295209000.0,False,False,0.0,0.13507341150457236,112,112
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,960.0,5.9,0.175,0.37,,,65.59,136420.0,4.9,32.89,41.65,59.80,83.22,112.26,"68,420","86,640",124380.0,"173,090","233,490",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,364680.0,0.0026324448831852583,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,130963200.0,False,False,0.0,0.007282029591200715,112,112
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,910.0,6.2,0.166,0.79,,,54.51,113380.0,2.1,28.63,38.48,47.28,64.50,83.86,"59,550","80,040",98340.0,"134,160","174,440",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,364680.0,0.002495338378852693,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,103175800.0,False,False,0.0,0.005468157923984198,112,112
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,7020.0,3.3,1.283,0.80,,,48.64,101170.0,0.8,26.94,35.13,44.39,58.28,74.99,"56,030","73,070",92320.0,"121,220","155,980",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,364680.0,0.0192497532082922,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,710213400.0,False,False,0.0,0.04051287995413035,113,113
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,4770.0,2.7,0.873,1.01,,,48.17,100190.0,0.7,28.57,36.13,45.82,58.51,71.06,"59,420","75,140",95300.0,"121,710","147,800",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,364680.0,0.013079960513326752,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,477906300.0,False,False,0.0,0.027170560873761265,113,113
