minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,44850.0,4750261500.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,4720.0,628536600.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,180973100.0,0.0,28.79277038123158,0.0,28.79277038123158,0.0
113,113,18850.0,2335661800.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,459378900.0,0.0,19.668040124644758,0.0,19.668040124644758,0.0
119,119,24750.0,2441482900.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",339460100.0,0.0,13.903849172975983,0.0,13.903849172975983,0.0
131,131,62040.0,4541903900.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,370406400.0,0.0,8.155311256145248,0.0,8.155311256145248,0.0
132,132,30380.0,2450497000.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,50154000.0,0.0,2.046686855768442,0.0,2.046686855768442,0.0
151,151,33350.0,2964901800.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",2612379300.0,939668400.0,88.11014584024335,31.693069902011594,56.417075938231754,1.079435821620803
152,152,3690.0,298873400.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",295047800.0,0.0,98.71999314760029,0.0,98.71999314760029,0.0
171,171,2060.0,154907500.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",90688500.0,0.0,58.54364701515421,0.0,58.54364701515421,0.0
172,172,16570.0,1742084400.0,50.4888499184631,37.86663743884733,8,0,0.0,0.0,"172011,172021,172061,172071,172072,172141,172171,172199",1035721900.0,0.0,59.45302650089743,0.0,59.45302650089743,0.0
173,173,7630.0,505926700.0,47.99586229632063,35.99689672224047,4,0,0.0,0.0,"173012,173021,173023,173028",137781400.0,0.0,27.233470777486147,0.0,27.233470777486147,0.0
191,191,2050.0,156149400.0,45.11492041998831,33.83619031499123,1,0,0.0,0.0,191029,16916500.0,0.0,10.8335350632151,0.0,10.8335350632151,0.0
192,192,2650.0,244246300.0,51.52920500166573,38.6469037512493,5,0,0.0,0.0,"192012,192021,192042,192043,192099",148653600.0,0.0,60.862170685901894,0.0,60.862170685901894,0.0
193,193,1970.0,140911400.0,37.95754088822264,28.46815566616698,2,0,0.0,0.0,"193011,193099",16068000.0,0.0,11.402909913605287,0.0,11.402909913605287,0.0
194,194,3060.0,180512700.0,42.60404609502203,31.953034571266524,2,0,0.0,0.0,"194031,194061",54807000.0,0.0,30.361852656350496,0.0,30.361852656350496,0.0
195,195,1840.0,133884100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,26510.0,1326075200.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,420.0,23133600.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,5810.0,730701100.0,33.108720172233376,24.83154012917503,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,4280.0,230032500.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,13250.0,993127800.0,29.528598604681463,22.146448953511097,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,53880.0,2812298800.0,29.654125960711642,22.240594470533733,1,0,0.0,0.0,252023,2812500.0,0.0,0.10000715428957975,0.0,0.10000715428957975,0.0
253,253,7820.0,293814400.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,4130.0,191557600.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,7524000.0,0.0,3.927800306539652,0.0,3.927800306539652,0.0
259,259,17400.0,576063100.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,5610.0,267356800.0,45.24999957023057,33.93749967767293,2,0,0.0,0.0,"271021,271027",23131200.0,0.0,8.65180911800261,0.0,8.65180911800261,0.0
272,272,4020.0,219400400.0,29.07871685536701,21.80903764152526,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,4910.0,289213700.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,1670.0,78876300.0,37.34143805283511,28.00607853962633,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,61530.0,6623285900.0,22.98604678059439,17.23953508544579,1,0,0.0,0.0,291129,6717700.0,0.0,0.10142548730985626,0.0,0.10142548730985626,0.0
292,292,40390.0,2005060200.0,26.941030628116607,20.205772971087463,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,1530.0,79151400.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,37130.0,1098333400.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,2870.0,159817000.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,21100.0,796834400.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,4690.0,344499500.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,4200.0,245354200.0,43.55238633915104,32.66428975436329,1,0,0.0,0.0,332022,4752000.0,0.0,1.936791789176627,0.0,1.936791789176627,0.0
333,333,13900.0,788530200.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,15740.0,543349700.0,38.18140968508615,28.636057263814614,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,18670.0,700492100.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,46860.0,1320342500.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,85440.0,2092352300.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,13400.0,333559300.0,39.49509803921569,29.621323529411764,1,0,0.0,0.0,359021,113776600.0,0.0,34.10985692798852,0.0,34.10985692798852,0.0
371,371,2890.0,129786500.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,32960.0,961663000.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,10400.0,351717000.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",341716800.0,0.0,97.15674818106604,0.0,97.15674818106604,0.0
391,391,2860.0,142873200.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,3420.0,104514200.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,8848000.0,0.0,8.465835264490376,0.0,8.465835264490376,0.0
