AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2740.0,4.6,1.643,1.18,,,76.07,158230.0,3.3,24.03,38.48,61.65,90.71,#,"49,980","80,040",128230.0,"188,680",#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,93170.0,0.029408607921004616,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,433550200.0,False,False,0.0,0.08812790139319059,111,111
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,41540.0,1.5,24.960,1.08,,,49.65,103270.0,1.5,16.52,25.12,38.97,61.75,93.79,"34,370","52,250",81060.0,"128,440","195,070",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,93170.0,0.4458516689921649,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,4289835800.0,False,False,0.0,1.0,111,111
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,570.0,13.9,0.343,1.60,,,*,47150.0,5.2,*,*,*,*,*,"19,180","21,530",47490.0,"58,030","62,620",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,93170.0,0.0061178490930557045,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,26875500.0,False,False,0.0,0.004767771126980505,111,111
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,100.0,16.9,0.061,0.45,,,45.49,94630.0,7.7,22.41,29.56,38.55,52.91,86.84,"46,620","61,490",80190.0,"110,040","180,640",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,93170.0,0.0010733068584308253,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,9463000.0,False,False,0.0,0.0020752637056126117,112,112
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,1330.0,4.4,0.797,0.33,,,65.42,136070.0,3.1,29.19,41.88,58.52,82.36,106.49,"60,720","87,100",121730.0,"171,310","221,500",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,93170.0,0.014274981217129978,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,180973100.0,True,False,100.0,0.05435630227856827,112,112
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,2880.0,4.5,1.733,0.46,,,65.62,136500.0,1.8,31.25,41.48,58.65,80.70,103.40,"65,000","86,270",122000.0,"167,860","215,060",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,93170.0,0.03091123752280777,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,393120000.0,False,False,0.0,0.08947089567520032,112,112
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,330.0,5.2,0.201,0.42,,,53.91,112130.0,1.6,28.37,36.83,49.10,62.44,89.02,"59,010","76,600",102120.0,"129,880","185,160",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,93170.0,0.0035419126328217238,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,37002900.0,False,False,0.0,0.007956973989918622,112,112
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,80.0,14.2,0.048,0.23,,,47.94,99720.0,2.9,27.55,33.62,45.90,55.04,72.04,"57,300","69,920",95470.0,"114,470","149,830",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,93170.0,0.0008586454867446603,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,7977600.0,False,False,0.0,0.001635100592329684,112,112
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,3370.0,2.2,2.023,1.27,,,51.23,106550.0,1.0,26.46,35.26,49.45,60.75,81.27,"55,030","73,340",102860.0,"126,360","169,030",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,93170.0,0.03617044112911882,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,359073500.0,False,False,0.0,0.07921302986030901,113,113
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,820.0,4.7,0.494,0.57,,,47.41,98610.0,1.7,23.16,32.99,44.97,55.71,75.65,"48,180","68,620",93530.0,"115,870","157,360",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,93170.0,0.008801116239132769,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,80860200.0,False,False,0.0,0.017778686598601,113,113
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,3390.0,5.0,2.035,0.52,,,65.15,135510.0,1.6,38.58,47.25,62.43,77.81,96.46,"80,250","98,280",129850.0,"161,840","200,630",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,93170.0,0.03638510250080498,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,459378900.0,True,False,100.0,0.1380101570512283,113,113
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,5570.0,2.5,3.344,0.64,,,67.56,140520.0,1.4,32.16,43.20,60.30,80.67,107.10,"66,890","89,850",125430.0,"167,800","222,760",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,93170.0,0.059783192014596975,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,782696400.0,False,False,0.0,0.1833142709814415,113,113
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,1630.0,3.4,0.976,0.67,,,57.90,120440.0,1.7,31.55,40.15,51.19,66.26,85.74,"65,620","83,510",106470.0,"137,820","178,350",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,93170.0,0.017494901792422454,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,196317200.0,False,False,0.0,0.03389632228532708,113,113
