minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,48770.0,5713701900.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,16770.0,2367404700.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,846974000.0,0.0,35.77647708480092,0.0,35.77647708480092,0.0
113,113,31330.0,4357108000.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,1160206400.0,0.0,26.627900892059596,0.0,26.627900892059596,0.0
119,119,41380.0,4806489600.0,36.48447928888147,27.3633594666611,2,0,0.0,0.0,"119041,119121",912015800.0,0.0,18.974675405518408,0.0,18.974675405518408,0.0
131,131,99460.0,8242858900.0,37.87898803565827,28.4092410267437,1,0,0.0,0.0,131111,1037442100.0,0.0,12.585950003341681,0.0,12.585950003341681,0.0
132,132,30100.0,2626310800.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,60494300.0,0.0,2.3033945563487763,0.0,2.3033945563487763,0.0
151,151,56680.0,6214858500.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",5744088300.0,3055174300.0,92.42508578433443,49.15919324631446,43.26589253801997,2.380604677770766
152,152,5230.0,581864000.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",564515200.0,0.0,97.01840980022823,0.0,97.01840980022823,0.0
171,171,3390.0,291346000.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",193510400.0,0.0,66.41944629409706,0.0,66.41944629409706,0.0
172,172,29920.0,3635918000.0,50.385621284692114,37.78921596351909,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",2589757500.0,0.0,71.22706012621846,0.0,71.22706012621846,0.0
173,173,11200.0,772708900.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",227360200.0,0.0,29.423784299624344,0.0,29.423784299624344,0.0
191,191,5950.0,530810400.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",78220200.0,0.0,14.735996129691506,0.0,14.735996129691506,0.0
192,192,3070.0,291040600.0,51.13892878027309,38.35419658520482,5,0,0.0,0.0,"192012,192021,192042,192043,192099",109320500.0,0.0,37.56194152980718,0.0,37.56194152980718,0.0
193,193,3760.0,385897800.0,37.318836281031686,27.98912721077377,2,0,0.0,0.0,"193011,193099",69696600.0,0.0,18.060895915965318,0.0,18.060895915965318,0.0
194,194,7990.0,433825300.0,42.60404609502203,31.953034571266524,2,0,0.0,0.0,"194031,194061",20931400.0,0.0,4.824845392834397,0.0,4.824845392834397,0.0
195,195,1740.0,136325100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,40860.0,2480001900.0,32.99171343229928,24.743785074224466,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,7360.0,424810300.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,8180.0,1205375800.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,5950.0,416629400.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,19290.0,2087273900.0,29.790867600497354,22.343150700373013,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,45010.0,3504749500.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,9390.0,595272900.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3640.0,221415900.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,3458700.0,0.0,1.5620829398430736,0.0,1.5620829398430736,0.0
259,259,28250.0,1276081200.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,10960.0,708055000.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",72532100.0,0.0,10.243851113260975,0.0,10.243851113260975,0.0
272,272,6460.0,411032400.0,29.359758223113236,22.01981866733492,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,10290.0,747321600.0,35.81390329663298,26.86042747247474,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,2140.0,125211800.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,74210.0,10252253600.0,21.651533893972776,16.238650420479583,1,0,0.0,0.0,291129,0.0,0.0,0.0,0.0,0.0,0.0
292,292,29460.0,1947967500.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,1640.0,122281600.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,47950.0,2022223600.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,1680.0,87628900.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,27930.0,1445038000.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,4170.0,382442800.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
