AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,810.0,3.9,0.416,0.30,,,178.50,371290.0,2.7,70.26,95.71,#,#,#,"146,140","199,080",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,138250.0,0.005858951175406872,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,300744900.0,False,False,0.0,0.04579062149889672,111,111
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,47740.0,2.7,24.569,1.06,,,54.36,113080.0,0.9,22.42,30.13,43.62,64.07,97.73,"46,640","62,660",90720.0,"133,270","203,270",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,138250.0,0.3453164556962025,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,5398439200.0,False,False,0.0,0.9426094178533194,111,111
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,220.0,10.1,0.114,0.53,,,*,65990.0,7.4,*,*,*,*,*,"35,050","35,050",42340.0,"98,130","120,180",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,138250.0,0.0015913200723327305,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,14517800.0,False,False,0.0,0.0019291406173525818,111,111
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,,**,**,**,,,64.76,134690.0,3.1,39.60,47.61,62.25,81.28,94.94,"82,370","99,020",129470.0,"169,060","197,480",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,138250.0,,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,,False,False,0.0,,112,112
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,5800.0,3.1,2.987,1.23,,,70.21,146030.0,1.2,36.20,49.02,64.49,84.09,104.30,"75,300","101,970",134130.0,"174,900","216,940",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,138250.0,0.041952983725135624,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,846974000.0,True,False,100.0,0.19055054158017345,112,112
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,8100.0,6.1,4.169,1.10,,,70.29,146200.0,3.9,31.59,44.28,60.52,85.92,#,"65,710","92,090",125890.0,"178,710",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,138250.0,0.058589511754068714,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1184220000.0,False,False,0.0,0.20187998634651136,112,112
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,2100.0,5.0,1.083,2.26,,,59.82,124420.0,1.4,34.94,43.50,59.89,67.30,85.56,"72,680","90,490",124570.0,"139,980","177,960",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,138250.0,0.015189873417721518,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,261282000.0,False,False,0.0,0.04208486103435849,112,112
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,770.0,7.7,0.398,1.90,,,46.79,97310.0,2.3,29.05,34.42,40.37,52.58,66.93,"60,420","71,590",83960.0,"109,370","139,210",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,138250.0,0.005569620253164557,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,74928700.0,False,False,0.0,0.011503358271873015,112,112
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,4910.0,4.1,2.526,1.58,,,55.57,115590.0,1.3,30.71,39.55,50.70,66.01,80.95,"63,880","82,260",105460.0,"137,310","168,370",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,138250.0,0.035515370705244124,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,567546900.0,False,False,0.0,0.0937819492825004,113,113
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2200.0,6.6,1.132,1.31,,,51.61,107340.0,2.3,29.68,37.14,46.46,63.24,77.84,"61,730","77,260",96630.0,"131,550","161,900",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,138250.0,0.015913200723327307,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,236148000.0,False,False,0.0,0.03889138094219459,113,113
