minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,,236750.0,,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,145770.0,121610.0,17727089700.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,520.0,79820.0,41506400.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112021,Marketing Managers,10400.0,144380.0,1501552000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,17590.0,145160.0,2553364400.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,1590.0,134030.0,213107700.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,1200.0,120430.0,144516000.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,7460.0,110420.0,823733200.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,4950.0,105840.0,523908000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,20480.0,159730.0,3271270400.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,27660.0,157290.0,4350641400.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,9510.0,114450.0,1088419500.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,2510.0,137450.0,344999500.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",6060.0,111600.0,676296000.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,,118980.0,,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,7910.0,139000.0,1099490000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,1100.0,129540.0,142494000.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119021,Construction Managers,3550.0,115790.0,411054500.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",3360.0,57290.0,192494400.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",11580.0,107410.0,1243807800.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",9070.0,114510.0,1038605700.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",840.0,109630.0,92089200.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,9500.0,158010.0,1501095000.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,5820.0,69540.0,404722800.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119071,Gambling Managers,90.0,95030.0,8552700.0,38.44117647058824,False,0.0,28.830882352941178,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",540.0,69570.0,37567800.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,1070.0,66250.0,70887500.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,20800.0,125860.0,2617888000.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
