AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,,**,**,**,,,113.82,236750.0,2.5,49.56,67.24,96.43,#,#,"103,080","139,870",200560.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,352610.0,,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,,False,False,0.0,,111,111
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,145770.0,1.3,24.505,1.06,,,58.47,121610.0,1.8,22.73,32.31,47.67,70.67,102.71,"47,280","67,200",99140.0,"146,990","213,640",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,352610.0,0.4134029097302969,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,17727089700.0,False,False,0.0,1.0,111,111
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,520.0,12.9,0.088,0.41,,,*,79820.0,2.8,*,*,*,*,*,"22,300","44,830",72230.0,"95,290","149,290",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,352610.0,0.0014747171095544653,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,41506400.0,False,False,0.0,0.0017818746140011862,111,111
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,10400.0,3.5,1.748,0.72,,,69.41,144380.0,2.0,35.30,46.94,63.41,83.62,107.04,"73,430","97,640",131890.0,"173,920","222,630",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,352610.0,0.029494342191089304,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1501552000.0,True,False,100.0,0.10913887759345853,112,112
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,17590.0,3.9,2.957,0.78,,,69.79,145160.0,1.5,31.25,45.26,62.79,82.29,108.12,"65,000","94,140",130600.0,"171,160","224,900",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,352610.0,0.04988514222512124,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,2553364400.0,False,False,0.0,0.14062828220110557,112,112
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1590.0,3.9,0.268,0.56,,,64.44,134030.0,2.1,36.58,44.06,55.94,74.46,105.92,"76,090","91,650",116360.0,"154,870","220,300",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,352610.0,0.004509231161906923,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,213107700.0,False,False,0.0,0.011089565879595104,112,112
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,1200.0,5.1,0.201,0.96,,,57.90,120430.0,1.6,36.17,43.94,50.73,65.66,84.67,"75,240","91,390",105510.0,"136,560","176,110",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,352610.0,0.0034031933297410735,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,144516000.0,False,False,0.0,0.007167890767081031,112,112
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,7460.0,7.0,1.254,0.79,,,53.09,110420.0,5.0,25.04,33.99,46.88,64.60,87.19,"52,070","70,710",97510.0,"134,370","181,360",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,352610.0,0.021156518533223676,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,823733200.0,False,False,0.0,0.04397471844298021,113,113
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,4950.0,2.8,0.833,0.96,,,50.88,105840.0,1.0,28.53,36.81,47.88,61.27,76.74,"59,340","76,560",99580.0,"127,450","159,620",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,352610.0,0.01403817248518193,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,523908000.0,False,False,0.0,0.02787552915060966,113,113
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,20480.0,3.3,3.443,0.88,,,76.79,159730.0,0.9,47.13,58.36,74.66,87.26,105.28,"98,020","121,390",155290.0,"181,490","218,980",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,352610.0,0.05808116616091433,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,3271270400.0,True,False,100.0,0.2378261894788469,113,113
