AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,2820.0,4.8,3.041,2.19,,,59.41,123570.0,9.7,25.00,34.06,43.42,65.46,110.78,"52,000","70,850",90310.0,"136,150","230,420",,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,38790.0,0.07269914926527456,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,348467400.0,False,False,0.0,0.46967408309720615,111,111
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,6480.0,3.4,6.981,0.30,,,45.06,93730.0,3.0,17.50,24.83,36.42,56.53,79.71,"36,400","51,640",75760.0,"117,580","165,790",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,38790.0,0.16705336426914152,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,607370400.0,False,False,0.0,0.9388005978324423,111,111
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,170.0,15.5,0.187,1.37,,,50.88,105840.0,12.2,22.35,30.40,41.58,56.86,83.16,"46,490","63,220",86490.0,"118,260","172,970",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,38790.0,0.004382572828048466,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,17992800.0,False,False,0.0,0.02616396786298537,112,112
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,790.0,8.9,0.853,0.35,,,48.95,101820.0,4.1,22.58,29.96,45.45,65.41,75.92,"46,970","62,310",94540.0,"136,040","157,910",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,38790.0,0.02036607373034287,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,80437800.0,True,False,100.0,0.16019777032350033,112,112
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,1500.0,5.0,1.613,0.43,,,50.37,104760.0,2.8,23.39,30.27,41.46,63.75,81.08,"48,660","62,960",86240.0,"132,600","168,640",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,38790.0,0.038669760247486466,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,157140000.0,False,False,0.0,0.23713944465722409,112,112
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,180.0,8.9,0.189,0.39,,,37.77,78570.0,3.7,18.95,24.04,33.37,46.75,66.78,"39,410","50,000",69400.0,"97,240","138,890",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,38790.0,0.004640371229698376,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,14142600.0,False,False,0.0,0.020165167716780317,112,112
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,3170.0,4.0,3.415,2.14,,,35.77,74410.0,2.1,17.23,22.71,30.05,41.53,63.32,"35,840","47,240",62490.0,"86,390","131,700",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,38790.0,0.0817220933230214,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,235879700.0,False,False,0.0,0.3450358652672481,113,113
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,440.0,3.8,0.472,0.55,,,38.88,80860.0,2.2,17.96,24.41,36.01,49.19,65.24,"37,350","50,770",74900.0,"102,310","135,700",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,38790.0,0.01134312967259603,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,35578400.0,False,False,0.0,0.051869454472047376,113,113
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,1500.0,3.4,1.613,0.41,,,48.98,101880.0,2.1,25.09,29.76,41.89,59.33,79.28,"52,180","61,890",87130.0,"123,410","164,900",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,38790.0,0.038669760247486466,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,152820000.0,True,False,100.0,0.30442520401861595,113,113
72,Puerto Rico,3,PR,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,3870.0,2.9,4.169,0.80,,,45.30,94220.0,1.3,21.17,27.73,37.36,55.95,77.39,"44,040","57,690",77700.0,"116,380","160,960",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,38790.0,0.09976798143851508,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,364631400.0,False,False,0.0,0.5662619868892445,113,113
