minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,7760.0,1128899200.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1760.0,294892500.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,147806400.0,0.0,50.122129250489586,0.0,50.122129250489586,0.0
113,113,5070.0,798398400.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,162961400.0,0.0,20.41103789787154,0.0,20.41103789787154,0.0
119,119,8360.0,955678500.0,36.20915969460328,27.156869770952458,2,0,0.0,0.0,"119041,119121",72847700.0,0.0,7.622615764611217,0.0,7.622615764611217,0.0
131,131,24110.0,2120270100.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,462753000.0,0.0,21.825191045235226,0.0,21.825191045235226,0.0
132,132,12930.0,1243637600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,42365800.0,0.0,3.4066033384645173,0.0,3.4066033384645173,0.0
151,151,16230.0,1813722600.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",1566917800.0,769846200.0,86.39236231604546,42.44564190797424,43.94672040807122,2.5011740566049427
152,152,1320.0,155140000.0,52.58113159007772,39.43584869255829,3,0,0.0,0.0,"152031,152041,152051",135389600.0,0.0,87.26930514374114,0.0,87.26930514374114,0.0
171,171,430.0,35202400.0,45.412046508744346,34.059034881558254,2,0,0.0,0.0,"171011,171012",28868400.0,0.0,82.00690861986682,0.0,82.00690861986682,0.0
172,172,6400.0,722544100.0,50.375524602824896,37.78164345211867,6,0,0.0,0.0,"172031,172061,172071,172072,172141,172199",452205000.0,0.0,62.58510726196504,0.0,62.58510726196504,0.0
173,173,1150.0,83008600.0,46.89196204498534,35.168971533739004,2,0,0.0,0.0,"173023,173028",22755300.0,0.0,27.413183694219633,0.0,27.413183694219633,0.0
191,191,880.0,98167200.0,51.34913151893441,38.511848639200814,2,0,0.0,0.0,"191012,191029",11338200.0,0.0,11.54988631640711,0.0,11.54988631640711,0.0
