AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,,**,**,**,,,147.83,307480.0,19.0,69.26,85.63,#,#,#,"144,050","178,100",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,22950.0,,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,,False,False,0.0,,111,111
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,7710.0,4.0,15.795,0.68,,,70.01,145620.0,2.7,30.79,41.81,58.77,86.76,#,"64,030","86,960",122240.0,"180,460",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,22950.0,0.3359477124183007,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,1122730200.0,False,False,0.0,0.7559128994635801,111,111
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,50.0,34.3,0.104,0.49,,,*,123380.0,29.8,*,*,*,*,*,"27,040","36,390",75310.0,"121,330",#,True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,22950.0,0.002178649237472767,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,6169000.0,False,False,0.0,0.0031608991359547756,111,111
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,110.0,18.6,0.222,1.63,,,70.27,146160.0,12.3,36.56,46.84,65.79,81.11,111.05,"76,050","97,430",136840.0,"168,700","230,980",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,22950.0,0.004793028322440087,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,16077600.0,False,False,0.0,0.01018363186063995,112,112
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,840.0,10.2,1.722,0.71,,,84.60,175960.0,2.7,50.09,64.51,79.67,101.02,#,"104,180","134,190",165720.0,"210,110",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,22950.0,0.036601307189542485,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,147806400.0,True,False,100.0,0.12822306081101745,112,112
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,500.0,7.7,1.018,0.27,,,78.28,162810.0,4.9,38.09,43.92,76.25,99.23,112.92,"79,220","91,350",158600.0,"206,400","234,870",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,22950.0,0.02178649237472767,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,81405000.0,False,False,0.0,0.05351120705453331,112,112
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,120.0,22.2,0.238,0.50,,,80.09,166600.0,3.8,46.37,58.98,73.03,93.96,#,"96,440","122,670",151910.0,"195,440",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,22950.0,0.00522875816993464,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,19992000.0,False,False,0.0,0.012416678621235362,112,112
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,190.0,22.2,0.390,1.86,,,74.93,155850.0,4.2,41.41,52.19,77.66,78.82,99.39,"86,120","108,560",161540.0,"163,950","206,740",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,22950.0,0.008278867102396514,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,29611500.0,False,False,0.0,0.017529504797264176,112,112
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,410.0,5.0,0.843,0.53,,,70.21,146040.0,1.3,40.42,53.37,67.03,80.81,102.00,"84,080","111,020",139420.0,"168,070","212,150",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,22950.0,0.01786492374727669,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,59876400.0,False,False,0.0,0.03815100405982534,113,113
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,350.0,13.0,0.710,0.82,,,52.32,108830.0,2.2,34.92,44.02,46.68,58.64,74.55,"72,640","91,560",97090.0,"121,970","155,070",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,22950.0,0.015250544662309368,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,38090500.0,False,False,0.0,0.024189035818609764,113,113
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,860.0,7.6,1.752,0.45,,,91.10,189490.0,1.5,57.92,66.46,82.08,100.51,#,"120,470","138,230",170730.0,"209,060",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,22950.0,0.03747276688453159,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,162961400.0,True,False,100.0,0.14140402597356067,113,113
