minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,47130.0,5403824300.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,12030.0,1566310100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,438320100.0,0.0,27.984247819125983,0.0,27.984247819125983,0.0
113,113,33670.0,4313079800.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,736009000.0,0.0,17.06458109121932,0.0,17.06458109121932,0.0
119,119,38440.0,3977105800.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",479490600.0,0.0,12.05626966222523,0.0,12.05626966222523,0.0
131,131,76050.0,5944198600.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,878157400.0,0.0,14.773352290079945,0.0,14.773352290079945,0.0
132,132,32530.0,2624528900.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,77234400.0,0.0,2.942790990032535,0.0,2.942790990032535,0.0
151,151,50990.0,4750871700.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",4108546200.0,1521469000.0,86.47983905774596,32.025049213600106,54.45478984414586,1.2667973048689989
152,152,3430.0,327710100.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",311415600.0,0.0,95.02776997108114,0.0,95.02776997108114,0.0
171,171,2210.0,168402700.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",108259800.0,0.0,64.28626144355167,0.0,64.28626144355167,0.0
172,172,26750.0,2705266200.0,50.53485880674691,37.90114410506019,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",1256160500.0,0.0,46.43389622803109,0.0,46.43389622803109,0.0
