AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,3020.0,3.7,1.357,0.98,,,106.08,220650.0,2.4,40.28,62.97,89.81,#,#,"83,770","130,980",186800.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,131270.0,0.023006018130570578,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,666363000.0,False,False,0.0,0.12318744153088666,111,111
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,43390.0,1.5,19.521,0.85,,,52.26,108710.0,1.2,22.36,29.82,43.42,64.86,94.44,"46,500","62,020",90310.0,"134,900","196,440",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,131270.0,0.33054010817399254,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,4716926900.0,False,False,0.0,1.0,111,111
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,720.0,7.7,0.322,1.51,,,*,28520.0,5.8,*,*,*,*,*,"17,580","18,190",18810.0,"21,310","51,450",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,131270.0,0.0054848784947055685,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,20534400.0,False,False,0.0,0.0033130072593035866,111,111
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,310.0,22.9,0.141,1.04,,,57.59,119790.0,6.5,33.02,39.79,57.57,64.59,87.76,"68,690","82,750",119750.0,"134,350","182,540",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,131270.0,0.0023615449074426754,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,37134900.0,False,False,0.0,0.007406418235871301,112,112
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,3530.0,3.5,1.587,0.65,,,59.70,124170.0,2.8,30.79,38.87,50.84,76.80,102.36,"64,030","80,850",105750.0,"159,740","212,900",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,131270.0,0.026891140397653692,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,438320100.0,True,False,100.0,0.11973160085419465,112,112
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,7050.0,2.6,3.172,0.84,,,66.47,138260.0,1.5,28.75,40.22,59.05,81.75,107.00,"59,800","83,660",122820.0,"170,040","222,560",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,131270.0,0.05370610192732536,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,974733000.0,False,False,0.0,0.20175478272859584,112,112
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,910.0,19.6,0.409,0.85,,,49.88,103760.0,2.3,28.46,32.14,41.52,60.69,85.56,"59,200","66,850",86360.0,"126,240","177,960",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,131270.0,0.006932276986363983,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,94421600.0,False,False,0.0,0.018465669367390143,112,112
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,230.0,10.2,0.102,0.49,,,45.36,94350.0,3.4,28.76,33.62,40.21,49.20,63.55,"59,820","69,940",83650.0,"102,340","132,190",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,131270.0,0.0017521139635865012,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,21700500.0,False,False,0.0,0.0040450461691674275,112,112
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,4760.0,2.1,2.143,1.34,,,53.06,110360.0,1.1,33.39,38.74,47.69,60.53,79.04,"69,450","80,580",99190.0,"125,900","164,390",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,131270.0,0.03626114115944237,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,525313600.0,False,False,0.0,0.10539340558213721,113,113
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1520.0,4.8,0.685,0.79,,,49.12,102160.0,2.3,27.97,36.09,46.37,61.64,71.48,"58,180","75,060",96460.0,"128,220","148,680",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,131270.0,0.011579187933267312,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,155283200.0,False,False,0.0,0.031050661634420558,113,113
