minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,4730.0,798153400.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,620.0,106159000.0,48.96301737353092,36.72226303014819,1,0,0.0,0.0,112021,15185000.0,0.0,14.304015674601306,0.0,14.304015674601306,0.0
113,113,3290.0,419377400.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,45967600.0,0.0,10.960914918162018,0.0,10.960914918162018,0.0
119,119,7000.0,624261400.0,36.640882963830364,27.480662222872773,2,0,0.0,0.0,"119041,119121",51744000.0,0.0,8.288835414139013,0.0,8.288835414139013,0.0
131,131,14420.0,1082455800.0,37.837671509047624,28.378253631785718,1,0,0.0,0.0,131111,250264000.0,0.0,23.120020235468274,0.0,23.120020235468274,0.0
132,132,11040.0,876842600.0,32.022153230320164,24.016614922740118,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
151,151,9420.0,795543800.0,68.19944353771909,51.149582653289315,12,2,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",747254000.0,232840600.0,93.92996337850914,29.268105665583715,64.66185771292542,1.0143137095283545
152,152,220.0,23126000.0,50.95362137102903,38.21521602827177,1,0,0.0,0.0,152051,14691000.0,0.0,63.52590158263427,0.0,63.52590158263427,0.0
171,171,440.0,36364000.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",19870400.0,0.0,54.64305356946431,0.0,54.64305356946431,0.0
172,172,3610.0,324341000.0,49.64483179381294,37.23362384535971,4,0,0.0,0.0,"172071,172072,172141,172199",109877400.0,0.0,33.877123151251304,0.0,33.877123151251304,0.0
173,173,1900.0,100703300.0,45.94447171332041,34.4583537849903,2,0,0.0,0.0,"173012,173023",14035500.0,0.0,13.93747771920086,0.0,13.93747771920086,0.0
191,191,1850.0,122712500.0,45.7562292551998,34.31717194139984,2,0,0.0,0.0,"191012,191029",17723700.0,0.0,14.443271875318326,0.0,14.443271875318326,0.0
192,192,490.0,36576100.0,48.68640065875117,36.51480049406338,3,0,0.0,0.0,"192021,192042,192043",15477500.0,0.0,42.31588386952135,0.0,42.31588386952135,0.0
193,193,530.0,41541700.0,34.291589684730816,25.718692263548117,1,0,0.0,0.0,193099,5511100.0,0.0,13.266428672875689,0.0,13.266428672875689,0.0
