minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,76720.0,9871634400.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,19540.0,2804632800.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1106576000.0,0.0,39.45528983330723,0.0,39.45528983330723,0.0
113,113,56480.0,7605746500.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,1562124000.0,0.0,20.538733443193248,0.0,20.538733443193248,0.0
119,119,65050.0,6364375100.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",415634000.0,0.0,6.530633306009887,0.0,6.530633306009887,0.0
131,131,122200.0,8901559400.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,899274600.0,0.0,10.102438905255184,0.0,10.102438905255184,0.0
132,132,53290.0,4322126600.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,209418200.0,0.0,4.845258350368543,0.0,4.845258350368543,0.0
151,151,71310.0,6443194500.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",5343145100.0,2073645600.0,82.92695649650184,32.18350152242028,50.743454974081565,1.1616214311859794
152,152,4920.0,447306800.0,53.791375860297464,40.3435318952231,4,0,0.0,0.0,"152031,152041,152051,152099",405638500.0,0.0,90.68462630123217,0.0,90.68462630123217,0.0
171,171,3260.0,293239900.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",221565100.0,0.0,75.55762363852942,0.0,75.55762363852942,0.0
172,172,24330.0,2340037800.0,50.17953470648864,37.634651029866475,8,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172199",1070161700.0,0.0,45.73266722443544,0.0,45.73266722443544,0.0
173,173,14650.0,858988900.0,46.63399119128947,34.975493393467104,3,0,0.0,0.0,"173012,173023,173028",194920000.0,0.0,22.69179496964396,0.0,22.69179496964396,0.0
191,191,6120.0,606565300.0,44.931471547424735,33.69860366056856,2,0,0.0,0.0,"191012,191029",37924000.0,0.0,6.252253467186468,0.0,6.252253467186468,0.0
192,192,3030.0,259197400.0,50.84324569070641,38.132434268029805,4,0,0.0,0.0,"192012,192021,192042,192099",80891600.0,0.0,31.20849206049135,0.0,31.20849206049135,0.0
193,193,2740.0,229692400.0,36.97962589223426,27.734719419175697,2,0,0.0,0.0,"193011,193099",39567200.0,0.0,17.226168562825762,0.0,17.226168562825762,0.0
194,194,5280.0,293925600.0,40.69742434852729,30.523068261395473,1,0,0.0,0.0,194031,81420000.0,0.0,27.700887571548716,0.0,27.700887571548716,0.0
195,195,3470.0,257063500.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,41120.0,2083483300.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1110.0,56414200.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,10750.0,1603108300.0,35.48325264488999,26.61243948366748,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,7180.0,404157100.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,24130.0,2070673500.0,29.983534409969877,22.487650807477408,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,80870.0,4527598200.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,13560.0,595722700.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,3820.0,199034800.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,8531000.0,0.0,4.286185129434652,0.0,4.286185129434652,0.0
259,259,31430.0,1190296800.0,34.41799428104575,25.813495710784316,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,12210.0,592642000.0,43.11327830646367,32.33495872984776,2,0,0.0,0.0,"271021,271027",57017000.0,0.0,9.620816614414773,0.0,9.620816614414773,0.0
272,272,10950.0,595135000.0,29.499202568869134,22.12440192665185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,9210.0,558088800.0,35.81390329663298,26.86042747247474,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4890.0,245871500.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,128890.0,13925819600.0,21.06854259171683,15.801406943787624,1,0,0.0,0.0,291129,25302200.0,0.0,0.18169271703045758,0.0,0.18169271703045758,0.0
292,292,72920.0,3656437600.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3540.0,232170100.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,56730.0,1811592300.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,4560.0,262777800.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
