AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,3230.0,11.8,1.924,1.38,,,94.33,196200.0,9.5,24.59,49.15,77.47,#,#,"51,140","102,220",161140.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,130380.0,0.02477373830342077,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,633726000.0,False,False,0.0,0.08723995109657864,111,111
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,56000.0,1.9,33.358,1.44,,,51.40,106910.0,2.7,18.79,27.14,40.07,63.49,97.90,"39,090","56,450",83350.0,"132,070","203,630",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,130380.0,0.42951372909955515,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,5986960000.0,False,False,0.0,0.945160444806874,111,111
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,330.0,18.0,0.196,0.92,,,*,65880.0,11.1,*,*,*,*,*,"19,240","32,190",49430.0,"104,000","137,140",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,130380.0,0.0025310630464795212,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,21740400.0,False,False,0.0,0.0026119582305418067,111,111
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,290.0,18.1,0.175,1.29,,,56.30,117110.0,4.3,29.78,38.32,51.28,64.81,87.00,"61,930","79,710",106660.0,"134,810","180,960",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,130380.0,0.0022242675256941248,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,33961900.0,False,False,0.0,0.005044013963873994,112,112
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,6820.0,5.2,4.061,1.67,,,64.74,134650.0,1.7,29.56,41.27,61.90,79.78,102.59,"61,490","85,850",128760.0,"165,940","213,390",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,130380.0,0.05230863629391011,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,918313000.0,True,False,100.0,0.1867955227096746,112,112
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,5990.0,9.9,3.569,0.94,,,69.42,144390.0,3.1,29.58,43.62,62.61,83.93,110.96,"61,520","90,720",130220.0,"174,570","230,790",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,130380.0,0.04594262923761313,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,864896100.0,False,False,0.0,0.133309296119251,112,112
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,560.0,11.9,0.334,0.70,,,63.18,131400.0,1.8,32.75,41.21,57.17,78.91,97.77,"68,120","85,720",118920.0,"164,130","203,360",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,130380.0,0.0042951372909955515,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,73584000.0,False,False,0.0,0.010716066975843826,112,112
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,190.0,15.4,0.113,0.54,,,42.33,88050.0,8.6,19.87,26.68,36.29,50.30,63.13,"41,330","55,500",75490.0,"104,620","131,300",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,130380.0,0.0014572787237306336,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,16729500.0,False,False,0.0,0.002322175458458933,112,112
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2000.0,3.3,1.190,0.75,,,54.06,112440.0,2.1,30.00,35.96,48.48,64.41,86.99,"62,400","74,790",100840.0,"133,970","180,940",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,130380.0,0.015339776039269826,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,224880000.0,False,False,0.0,0.033597267214228614,113,113
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1390.0,3.6,0.825,0.95,,,47.12,98010.0,1.5,25.00,33.20,43.67,59.06,70.26,"51,990","69,050",90840.0,"122,840","146,140",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,130380.0,0.010661144347292529,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,136233900.0,False,False,0.0,0.020285695548921893,113,113
