minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,8770.0,993864100.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1640.0,176039900.0,43.957277403343,32.96795805250725,1,0,0.0,0.0,112021,37940500.0,0.0,21.552216287330314,0.0,21.552216287330314,0.0
113,113,4810.0,593228300.0,36.4464371793267,27.334827884495027,1,0,0.0,0.0,113021,121960800.0,0.0,20.558830386210502,0.0,20.558830386210502,0.0
119,119,8160.0,808440000.0,36.37577388989776,27.281830417423322,2,0,0.0,0.0,"119041,119121",67045500.0,0.0,8.29319430013359,0.0,8.29319430013359,0.0
131,131,11570.0,925230300.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,120230400.0,0.0,12.994645765492116,0.0,12.994645765492116,0.0
132,132,4660.0,404245400.0,34.504162979593346,25.87812223469501,1,0,0.0,0.0,132099,13516700.0,0.0,3.343686780356684,0.0,3.343686780356684,0.0
151,151,4970.0,457178700.0,69.41864807129228,52.06398605346922,11,2,0.0,0.0,"151212,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",444117900.0,212374300.0,97.1431739930141,46.453235900972636,50.689938092041466,1.1939533740429626
152,152,450.0,46053700.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",46053700.0,0.0,100.0,0.0,100.0,0.0
171,171,430.0,36115500.0,41.29243951101567,30.969329633261754,1,0,0.0,0.0,171011,26124000.0,0.0,72.33459318021347,0.0,72.33459318021347,0.0
172,172,2600.0,251419700.0,50.02333621017754,37.51750215763315,3,0,0.0,0.0,"172031,172141,172199",129315500.0,0.0,51.43411594238637,0.0,51.43411594238637,0.0
173,173,1000.0,63696000.0,45.25280969163444,33.93960726872583,1,0,0.0,0.0,173023,23660600.0,0.0,37.146131625219795,0.0,37.146131625219795,0.0
191,191,550.0,39782700.0,45.122361305043924,33.84177097878295,1,0,0.0,0.0,191029,5626400.0,0.0,14.142830929021914,0.0,14.142830929021914,0.0
192,192,460.0,34833200.0,47.52659404119921,35.644945530899406,1,0,0.0,0.0,192043,0.0,0.0,0.0,0.0,0.0,0.0
193,193,480.0,38949200.0,35.417937433594126,26.563453075195596,1,0,0.0,0.0,193099,9256000.0,0.0,23.7642878415988,0.0,23.7642878415988,0.0
194,194,540.0,27971300.0,44.41903238568155,33.314274289261164,2,0,0.0,0.0,"194031,194061",8092000.0,0.0,28.929652894216574,0.0,28.929652894216574,0.0
195,195,220.0,17514100.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,8490.0,467501200.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,40.0,2570400.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,1210.0,136954300.0,34.231541522995904,25.673656142246926,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,680.0,42983000.0,34.45967023172906,25.844752673796794,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,3920.0,393740000.0,29.630622715979516,22.222967036984638,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,11890.0,751864200.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,3130.0,150884100.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,840.0,47506200.0,40.684569479965894,30.513427109974426,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
259,259,6460.0,279854900.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,1320.0,82072800.0,41.8000071164486,31.350005337336444,1,0,0.0,0.0,271021,9760800.0,0.0,11.892856098488172,0.0,11.892856098488172,0.0
272,272,1080.0,66478500.0,29.509947148075597,22.132460361056697,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,1900.0,128962000.0,35.81390329663298,26.86042747247474,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,480.0,26728200.0,37.61789559804266,28.213421698531988,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,13660.0,1535961300.0,21.657081644542746,16.242811233407068,1,0,0.0,0.0,291129,2918500.0,0.0,0.19001129781069354,0.0,0.19001129781069354,0.0
292,292,6240.0,349156900.0,25.48848205200881,19.11636153900661,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,340.0,23772200.0,30.555425278219396,22.91656895866455,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,10940.0,406215300.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,170.0,11452000.0,21.622765813942284,16.217074360456714,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,2930.0,137194700.0,27.411146687849477,20.558360015887107,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,470.0,38068600.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,420.0,20245200.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,1550.0,103282000.0,38.17373439254244,28.630300794406832,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,1750.0,71577300.0,37.1723763368984,27.879282252673796,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,2670.0,146203900.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,7310.0,282432500.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,12700.0,588602600.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,3070.0,108317700.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,40186300.0,0.0,37.100400026957736,0.0,37.100400026957736,0.0
371,371,620.0,38471300.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,7210.0,276836600.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,3200.0,143785500.0,47.170206971677565,35.37765522875817,2,0,0.0,0.0,"373011,373013",136858000.0,0.0,95.18205938707311,0.0,95.18205938707311,0.0
391,391,470.0,23732600.0,31.176470588235293,23.38235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,540.0,19110600.0,33.32352941176471,24.99264705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
393,393,550.0,18051700.0,40.96507352941177,30.72380514705882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
394,394,110.0,5327600.0,34.50980392156863,25.88235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,790.0,35499500.0,35.5359477124183,26.65196078431373,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,160.0,5916000.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,220.0,10157400.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,2170.0,91779300.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,2560.0,142853600.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
