minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,1300.0,133193800.0,40.470797908204375,30.353098431153285,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,150.0,13958900.0,48.96301737353092,36.72226303014819,1,0,0.0,0.0,112021,3237200.0,0.0,23.190939114113576,0.0,23.190939114113576,0.0
113,113,480.0,43963600.0,39.49759642618513,29.62319731963885,1,0,0.0,0.0,113021,4166500.0,0.0,9.477158376475083,0.0,9.477158376475083,0.0
119,119,650.0,56146000.0,35.20205164222593,26.40153873166945,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
131,131,1190.0,77022800.0,42.39235727876697,31.794267959075228,1,0,0.0,0.0,131111,5673500.0,0.0,7.366000716670908,0.0,7.366000716670908,0.0
132,132,570.0,38227000.0,33.66213957107798,25.246604678308486,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
151,151,310.0,23145700.0,62.85329805574028,47.139973541805205,4,1,0.0,0.0,"151211,151232,151244,151252",13193500.0,3980700.0,57.00194852607612,17.19844290732188,39.803505618754244,0.28669267621098976
172,172,40.0,2586800.0,49.415341812400634,37.06150635930047,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
192,192,60.0,3392400.0,42.52941176470589,31.897058823529424,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
194,194,40.0,2181200.0,58.73083778966133,44.048128342245995,1,0,0.0,0.0,194061,2181200.0,0.0,100.0,0.0,100.0,0.0
211,211,260.0,13023900.0,35.18328934137758,26.387467006033184,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,230.0,29157100.0,36.6537748957851,27.49033117183882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,80.0,4246400.0,32.96019013666073,24.720142602495546,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,60.0,4327200.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,1190.0,62038500.0,19.735644257703083,14.801733193277311,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,80.0,3061600.0,30.88368983957219,23.162767379679146,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,40.0,2181200.0,39.76470588235295,29.82352941176471,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
259,259,370.0,13353300.0,33.93729575163399,25.45297181372549,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,70.0,4050200.0,37.895194697597354,28.42139602319802,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,530.0,46281400.0,23.629714774139515,17.722286080604636,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,292,480.0,24332400.0,26.769927860248266,20.0774458951862,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,240.0,8364000.0,30.218954248366018,22.664215686274513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,250.0,9300900.0,23.13168449197861,17.34876336898396,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,60.0,3117000.0,42.88502673796792,32.163770053475936,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,1320.0,42811800.0,36.96427510398099,27.72320632798574,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,480.0,21057100.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,970.0,31572000.0,27.962962962962962,20.972222222222225,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,2200.0,87856700.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,590.0,18349000.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,7092800.0,0.0,38.65496757316475,0.0,38.65496757316475,0.0
371,371,80.0,3364000.0,37.58823529411765,28.191176470588236,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,1270.0,39069100.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,210.0,7419300.0,50.70588235294118,38.029411764705884,1,0,0.0,0.0,373011,7419300.0,0.0,100.0,0.0,100.0,0.0
