minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,120.0,172930.0,20751600.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,1180.0,95290.0,112442200.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
112,112,112021,Marketing Managers,40.0,80930.0,3237200.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,110.0,97470.0,10721700.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
113,113,113012,Administrative Services Managers,80.0,68000.0,5440000.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,40.0,71700.0,2868000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,50.0,83330.0,4166500.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,210.0,109090.0,22908900.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",40.0,65990.0,2639600.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113121,Human Resources Managers,60.0,99010.0,5940600.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
119,119,119021,Construction Managers,70.0,98720.0,6910400.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",140.0,80380.0,11253200.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119051,Food Service Managers,80.0,60160.0,4812800.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,70.0,98320.0,6882400.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",60.0,53350.0,3201000.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,50.0,67560.0,3378000.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119199,"Managers, All Other",180.0,109490.0,19708200.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,100.0,61200.0,6120000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",30.0,60680.0,1820400.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131041,Compliance Officers,200.0,71080.0,14216000.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131071,Human Resources Specialists,140.0,58880.0,8243200.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131082,Project Management Specialists,80.0,79280.0,6342400.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,70.0,81050.0,5673500.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131151,Training and Development Specialists,40.0,53030.0,2121200.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,80.0,46020.0,3681600.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",450.0,64010.0,28804500.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,360.0,63170.0,22741200.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132031,Budget Analysts,90.0,62450.0,5620500.0,34.568295114656046,False,0.0,25.926221335992032,False,0.0,0.0
132,132,132041,Credit Analysts,40.0,115700.0,4628000.0,29.152797704447643,False,0.0,21.86459827833573,False,0.0,0.0
132,132,132051,Financial and Investment Analysts,30.0,69810.0,2094300.0,39.89909002274943,False,0.0,29.92431751706207,False,0.0,0.0
132,132,132072,Loan Officers,50.0,62860.0,3143000.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
151,151,151211,Computer Systems Analysts,40.0,62320.0,2492800.0,72.19112918479289,True,100.0,54.14334688859467,False,0.0,0.0
151,151,151231,Computer Network Support Specialists,60.0,56550.0,3393000.0,36.4203431372549,False,0.0,27.315257352941174,False,0.0,0.0
151,151,151232,Computer User Support Specialists,80.0,47630.0,3810400.0,68.35995989304813,True,100.0,51.26996991978609,False,0.0,0.0
151,151,151244,Network and Computer Systems Administrators,40.0,72740.0,2909600.0,63.465170278637764,True,100.0,47.59887770897832,False,0.0,0.0
151,151,151252,Software Developers,30.0,132690.0,3980700.0,87.10588235294118,True,100.0,65.32941176470588,True,0.0,0.0
151,151,151299,"Computer Occupations, All Other",60.0,109320.0,6559200.0,49.5773034877668,False,0.0,37.182977615825095,False,0.0,0.0
172,172,172051,Civil Engineers,40.0,64670.0,2586800.0,49.415341812400634,False,0.0,37.06150635930047,False,0.0,0.0
192,192,192041,"Environmental Scientists and Specialists, Including Health",60.0,56540.0,3392400.0,42.52941176470589,False,0.0,31.897058823529424,False,0.0,0.0
194,194,194061,Social Science Research Assistants,40.0,54530.0,2181200.0,58.73083778966133,True,100.0,44.048128342245995,False,0.0,0.0
211,211,211012,"Educational, Guidance, and Career Counselors and Advisors",100.0,56040.0,5604000.0,32.47775263951734,False,0.0,24.358314479638008,False,0.0,0.0
211,211,211029,"Social Workers, All Other",60.0,58620.0,3517200.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
211,211,211093,Social and Human Service Assistants,70.0,37230.0,2606100.0,36.33710407239819,False,0.0,27.252828054298643,False,0.0,0.0
211,211,211099,"Community and Social Service Specialists, All Other",30.0,43220.0,1296600.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
231,231,231011,Lawyers,230.0,126770.0,29157100.0,36.6537748957851,False,0.0,27.49033117183882,False,0.0,0.0
232,232,232011,Paralegals and Legal Assistants,80.0,53080.0,4246400.0,32.96019013666073,False,0.0,24.720142602495546,False,0.0,0.0
251,251,251199,"Postsecondary Teachers, All Other",60.0,72120.0,4327200.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
252,252,252011,"Preschool Teachers, Except Special Education",100.0,37140.0,3714000.0,11.602941176470589,False,0.0,8.70220588235294,False,0.0,0.0
252,252,252021,"Elementary School Teachers, Except Special Education",540.0,53160.0,28706400.0,20.27941176470588,False,0.0,15.20955882352941,False,0.0,0.0
252,252,252022,"Middle School Teachers, Except Special and Career/Technical Education",40.0,46470.0,1858800.0,23.403361344537814,False,0.0,17.55252100840336,False,0.0,0.0
252,252,252031,"Secondary School Teachers, Except Special and Career/Technical Education",510.0,54430.0,27759300.0,23.656862745098042,False,0.0,17.742647058823533,False,0.0,0.0
253,253,253021,Self-Enrichment Teachers,80.0,38270.0,3061600.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
254,254,254022,Librarians and Media Collections Specialists,40.0,54530.0,2181200.0,39.76470588235295,False,0.0,29.82352941176471,False,0.0,0.0
259,259,259031,Instructional Coordinators,,69920.0,,31.915441176470587,False,0.0,23.936580882352942,False,0.0,0.0
259,259,259045,"Teaching Assistants, Except Postsecondary",370.0,36090.0,13353300.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
273,273,273031,Public Relations Specialists,70.0,57860.0,4050200.0,37.895194697597354,False,0.0,28.42139602319802,False,0.0,0.0
291,291,291051,Pharmacists,50.0,119970.0,5998500.0,31.18414322250639,False,0.0,23.38810741687979,False,0.0,0.0
291,291,291071,Physician Assistants,30.0,144570.0,4337100.0,23.419504643962853,False,0.0,17.56462848297214,False,0.0,0.0
291,291,291123,Physical Therapists,30.0,102200.0,3066000.0,20.852941176470587,False,0.0,15.639705882352942,False,0.0,0.0
291,291,291141,Registered Nurses,380.0,70410.0,26755800.0,27.035567715458274,False,0.0,20.276675786593707,False,0.0,0.0
291,291,291218,Obstetricians and Gynecologists,40.0,153100.0,6124000.0,15.656417112299465,False,0.0,11.742312834224599,False,0.0,0.0
