minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,99220.0,14730305900.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,18320.0,3206025900.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1284236800.0,0.0,40.056968972084725,0.0,40.056968972084725,0.0
113,113,55280.0,9475862200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,3197025800.0,0.0,33.73862697159104,0.0,33.73862697159104,0.0
119,119,68090.0,8609850100.0,36.48467278733348,27.363504590500114,2,0,0.0,0.0,"119041,119121",912892800.0,0.0,10.602888428917016,0.0,10.602888428917016,0.0
131,131,287120.0,23965210700.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,3937544400.0,0.0,16.430251539578578,0.0,16.430251539578578,0.0
132,132,97890.0,9503321100.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,462489600.0,0.0,4.86661026322682,0.0,4.86661026322682,0.0
151,151,226740.0,27742550900.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",25603978100.0,13170955200.0,92.29136207514357,47.475645795787294,44.81571627935627,4.920166245089555
152,152,14780.0,1870053900.0,54.73437095111935,41.05077821333951,5,0,0.0,0.0,"152021,152031,152041,152051,152099",1796083500.0,0.0,96.04447764847848,0.0,96.04447764847848,0.0
171,171,5330.0,463032800.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",296193600.0,0.0,63.968168129773964,0.0,63.968168129773964,0.0
172,172,47170.0,5374062700.0,50.385621284692114,37.78921596351909,9,0,0.0,0.0,"172011,172031,172061,172071,172072,172141,172161,172171,172199",3471791000.0,0.0,64.60272597861577,0.0,64.60272597861577,0.0
173,173,16490.0,1221236400.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",385360600.0,0.0,31.554955289573748,0.0,31.554955289573748,0.0
191,191,3200.0,277921600.0,44.38229133643831,33.28671850232874,1,0,0.0,0.0,191029,112571200.0,0.0,40.504660307079405,0.0,40.504660307079405,0.0
192,192,6500.0,704915300.0,51.4598212251665,38.59486591887488,6,0,0.0,0.0,"192011,192012,192021,192042,192043,192099",349386200.0,0.0,49.56428098524745,0.0,49.56428098524745,0.0
193,193,12100.0,1469933800.0,37.56215433202544,28.171615749019086,2,0,0.0,0.0,"193011,193099",827319600.0,0.0,56.28277953741863,0.0,56.28277953741863,0.0
194,194,8230.0,483509100.0,42.387654998868236,31.79074124915117,2,0,0.0,0.0,"194031,194061",84319300.0,0.0,17.43903062010622,0.0,17.43903062010622,0.0
195,195,4880.0,372662400.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,61310.0,3559626200.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,1710.0,95703200.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,17700.0,3152835200.0,37.29687626362882,27.97265719772161,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,15580.0,1292715900.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,36440.0,3474840800.0,29.65087827143239,22.23815870357429,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,120720.0,8119134100.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,50845400.0,0.0,0.6262416579620234,0.0,0.6262416579620234,0.0
253,253,33680.0,1680332700.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,7770.0,481471700.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,16777600.0,0.0,3.4846492535282962,0.0,3.4846492535282962,0.0
259,259,44420.0,2006228400.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,17310.0,993268800.0,44.20795763832337,33.15596822874254,3,0,0.0,0.0,"271021,271022,271027",49820300.0,0.0,5.015792301137416,0.0,5.015792301137416,0.0
272,272,10840.0,699447900.0,29.499202568869134,22.12440192665185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,20110.0,1607384700.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4560.0,281475200.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,140940.0,16363795000.0,21.929856389019083,16.44739229176431,1,0,0.0,0.0,291129,15303600.0,0.0,0.093521093364956,0.0,0.093521093364956,0.0
292,292,76070.0,4280306900.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,3170.0,222733100.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,102530.0,3353723200.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,4940.0,300016800.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,40550.0,1769495700.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,10710.0,922890100.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,10930.0,627472000.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,32360.0,2099803500.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,45860.0,1930172100.0,35.94490068754775,26.95867551566081,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,35420.0,1616525200.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,85950.0,2863418000.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,173040.0,5870859000.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,29250.0,889900300.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,301991300.0,0.0,33.93540826989271,0.0,33.93540826989271,0.0
371,371,9910.0,524471900.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,84380.0,2797403400.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,26300.0,1034036200.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",1010670300.0,0.0,97.7403208901197,0.0,97.7403208901197,0.0
391,391,5870.0,286649300.0,31.176470588235293,23.38235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,9500.0,316543800.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,12777600.0,0.0,4.036597778885576,0.0,4.036597778885576,0.0
393,393,10790.0,331793300.0,39.292436076994896,29.469327057746177,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
394,394,2030.0,90802000.0,36.88357843137255,27.662683823529413,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
