AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,5920.0,3.5,1.487,1.07,,,146.98,305720.0,2.3,60.09,87.19,#,#,#,"124,990","181,350",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,240910.0,0.024573492175501224,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1809862400.0,False,False,0.0,0.06459231161718183,111,111
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,92650.0,1.5,23.271,1.01,,,66.82,138980.0,0.8,26.56,37.27,58.20,82.47,#,"55,240","77,520",121050.0,"171,550",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,240910.0,0.3845834544020589,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,12876497000.0,False,False,0.0,0.5270093180104626,111,111
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,650.0,10.1,0.164,0.77,,,*,67610.0,2.3,*,*,*,*,*,"24,960","28,390",55510.0,"84,900","132,810",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,240910.0,0.002698103026026317,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,43946500.0,False,False,0.0,0.0013688137884825982,111,111
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,230.0,18.7,0.057,0.42,,,69.19,143910.0,11.0,21.65,50.56,63.36,83.07,#,"45,030","105,160",131790.0,"172,790",#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,240910.0,0.0009547133784400814,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,33099300.0,False,False,0.0,0.0012744549606845772,112,112
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,7040.0,3.4,1.768,0.73,,,87.70,182420.0,0.9,49.85,64.13,82.85,105.21,#,"103,700","133,390",172320.0,"218,840",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,240910.0,0.029222531235731188,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1284236800.0,True,False,100.0,0.06772394091100659,112,112
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,8000.0,6.8,2.010,0.53,,,81.61,169750.0,2.7,27.29,49.37,75.96,104.73,#,"56,770","102,690",158000.0,"217,850",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,240910.0,0.03320742185878544,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1358000000.0,False,False,0.0,0.05426473019551692,112,112
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,2380.0,27.7,0.597,1.25,,,87.79,182610.0,9.2,45.71,56.85,78.48,109.26,#,"95,070","118,250",163230.0,"227,250",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,240910.0,0.009879208002988669,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,434611800.0,False,False,0.0,0.016408728233504095,112,112
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,670.0,6.6,0.168,0.80,,,68.94,143400.0,2.0,39.04,46.82,61.81,82.27,106.13,"81,210","97,390",128570.0,"171,120","220,750",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,240910.0,0.0027811215806732804,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,96078000.0,False,False,0.0,0.00345746191803502,112,112
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,2650.0,3.1,0.665,0.42,,,66.45,138210.0,2.4,33.27,42.59,56.99,79.54,109.64,"69,200","88,600",118530.0,"165,450","228,040",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,240910.0,0.010999958490722677,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,366256500.0,False,False,0.0,0.014185996337219857,113,113
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2020.0,6.4,0.506,0.58,,,55.44,115300.0,2.4,32.42,38.58,51.61,66.57,82.57,"67,430","80,240",107350.0,"138,470","171,750",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,240910.0,0.008384874019343323,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,232906000.0,False,False,0.0,0.008990974627238519,113,113
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,16460.0,5.4,4.134,1.06,,,93.38,194230.0,0.8,58.53,73.07,87.33,107.96,#,"121,750","151,990",181650.0,"224,550",#,,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,240910.0,0.06832427047445104,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,3197025800.0,True,False,100.0,0.1686348691104572,113,113
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,18170.0,1.7,4.565,0.88,,,88.18,183410.0,1.1,47.94,62.31,80.13,104.21,#,"99,720","129,600",166680.0,"216,760",#,,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,240910.0,0.07542235689676642,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,3332559700.0,False,False,0.0,0.13703834660275974,113,113
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,2690.0,3.9,0.676,0.46,,,60.97,126820.0,1.0,35.98,45.49,56.25,70.10,95.38,"74,840","94,620",117000.0,"145,810","198,390",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,240910.0,0.011165995600016604,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,341145800.0,False,False,0.0,0.01034178465049762,113,113
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,3460.0,7.3,0.868,1.70,,,75.69,157440.0,0.9,49.00,61.24,73.85,85.18,102.87,"101,920","127,380",153600.0,"177,170","213,960",,,113061,10.930365659777424,34.35294117647059,Low,11,0.0,240910.0,0.014362209953924702,0.0,0.0,0,0.34352941176470586,25.76470588235294,Low,544742400.0,False,False,0.0,0.017713685192401574,113,113
