minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,64520.0,10019092200.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,22560.0,4006174600.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,1632771000.0,0.0,40.75636144265904,0.0,40.75636144265904,0.0
113,113,47530.0,8620749200.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,3459265200.0,0.0,40.12719915341001,0.0,40.12719915341001,0.0
119,119,56610.0,8297584200.0,36.58249797149622,27.436873478622164,2,0,0.0,0.0,"119041,119121",1555380800.0,0.0,18.74498363029567,0.0,18.74498363029567,0.0
131,131,218100.0,21716948250.0,37.343760036197075,28.007820027147805,1,0,0.0,0.0,131111,3049220600.0,0.0,14.040741658994376,0.0,14.040741658994376,0.0
132,132,68000.0,6755544600.0,34.51093242498171,25.88319931873628,1,0,0.0,0.0,132099,288318400.0,0.0,4.2678779738942145,0.0,4.2678779738942145,0.0
151,151,202620.0,27926809400.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",25542577900.0,15593064100.0,91.46257108769468,55.835465758576774,35.62710532911791,5.814395109601696
152,152,12180.0,1554932200.0,54.73437095111935,41.05077821333951,5,0,0.0,0.0,"152021,152031,152041,152051,152099",1522626400.0,0.0,97.92236600412545,0.0,97.92236600412545,0.0
171,171,6110.0,552917700.0,44.271162198238365,33.20337164867877,2,0,0.0,0.0,"171011,171012",423554600.0,0.0,76.603552391251,0.0,76.603552391251,0.0
172,172,51780.0,6186425800.0,50.6252272917517,37.96892046881378,10,0,0.0,0.0,"172011,172021,172031,172061,172071,172072,172141,172161,172171,172199",3709693700.0,0.0,59.96505607486636,0.0,59.96505607486636,0.0
173,173,16040.0,1261493800.0,47.1360971556404,35.3520728667303,4,0,0.0,0.0,"173012,173021,173023,173028",299302100.0,0.0,23.726006421910277,0.0,23.726006421910277,0.0
191,191,14830.0,1487912300.0,44.981037293822816,33.73577797036712,2,0,0.0,0.0,"191012,191029",188599800.0,0.0,12.675464810661218,0.0,12.675464810661218,0.0
192,192,8890.0,883606850.0,51.4598212251665,38.59486591887488,6,0,0.0,0.0,"192011,192012,192021,192042,192043,192099",276678850.0,0.0,31.3124383315951,0.0,31.3124383315951,0.0
193,193,7350.0,742014900.0,38.07413166710176,28.555598750326322,2,0,0.0,0.0,"193011,193099",120491100.0,0.0,16.23836664196366,0.0,16.23836664196366,0.0
194,194,9200.0,549211000.0,42.387654998868236,31.79074124915117,2,0,0.0,0.0,"194031,194061",84690200.0,0.0,15.420339359553978,0.0,15.420339359553978,0.0
195,195,4100.0,376020700.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,58160.0,3748727100.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,2090.0,127923300.0,35.44987673431945,26.587407550739595,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,15090.0,1161259300.0,29.914275727788933,22.435706795841696,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,9780.0,738810400.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,24220.0,2335114300.0,29.89293633686273,22.419702252647046,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,85760.0,7334816000.0,30.56730708608906,22.925480314566794,1,0,0.0,0.0,252023,59544800.0,0.0,0.8118104121493981,0.0,0.8118104121493981,0.0
253,253,26660.0,1422001800.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,5580.0,438662900.0,43.4726289428815,32.604471707161125,1,0,0.0,0.0,254013,14924700.0,0.0,3.4023164484619053,0.0,3.4023164484619053,0.0
259,259,47280.0,2419414100.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,15560.0,1270330600.0,45.5520848271379,34.16406362035344,3,0,0.0,0.0,"271021,271022,271027",86634000.0,0.0,6.819799507309357,0.0,6.819799507309357,0.0
272,272,15350.0,1006225300.0,27.720495974858594,20.790371981143945,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,15870.0,1365701200.0,34.22804476040579,25.671033570304342,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,4550.0,324020250.0,38.47574765727339,28.85681074295504,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,129210.0,17426314800.0,21.611395111186937,16.208546333390203,1,0,0.0,0.0,291129,6407550.0,0.0,0.036769392000195016,0.0,0.036769392000195016,0.0
292,292,54470.0,3714591000.0,27.698740654228704,20.774055490671532,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,2740.0,193130300.0,28.884981933805467,21.6637364503541,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,116500.0,5059673400.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,3880.0,248494600.0,29.173348147612852,21.880011110709642,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,46100.0,2512716000.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,8980.0,952711500.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,6910.0,583848300.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,17100.0,1488730300.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,34730.0,1647903000.0,38.06407364081997,28.548055230614978,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,31560.0,1668873300.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,68490.0,2989637800.0,23.842933006535954,17.882199754901965,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,166640.0,7454944300.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,28110.0,1153158500.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,449377000.0,0.0,38.96923102938582,0.0,38.96923102938582,0.0
371,371,5360.0,333981600.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,66980.0,2848736100.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,23370.0,1142609700.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",1112700200.0,0.0,97.38235199648663,0.0,97.38235199648663,0.0
391,391,4130.0,259811400.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,6620.0,276234500.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,23125400.0,0.0,8.371655242194585,0.0,8.371655242194585,0.0
393,393,11660.0,533036100.0,40.50586110512582,30.379395828844363,1,0,0.0,0.0,393011,246998700.0,0.0,46.3380810417906,0.0,46.3380810417906,0.0
