minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,4030.0,324900.0,1309347000.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,59230.0,144420.0,8553996600.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,1260.0,123610.0,155748600.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112011,Advertising and Promotions Managers,230.0,169940.0,39086200.0,40.67727639000807,False,0.0,30.50795729250605,False,0.0,0.0
112,112,112021,Marketing Managers,9450.0,172780.0,1632771000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,10550.0,186470.0,1967258500.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
112,112,112032,Public Relations Managers,1550.0,163930.0,254091500.0,39.88591800356507,False,0.0,29.9144385026738,False,0.0,0.0
112,112,112033,Fundraising Managers,780.0,144830.0,112967400.0,38.0171568627451,False,0.0,28.51286764705882,False,0.0,0.0
113,113,113012,Administrative Services Managers,,150620.0,,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,2750.0,123060.0,338415000.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,16680.0,207390.0,3459265200.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,12640.0,187580.0,2371011200.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,4170.0,145570.0,607026900.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113061,Purchasing Managers,2240.0,155230.0,347715200.0,34.35294117647059,False,0.0,25.76470588235294,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",3030.0,128960.0,390748800.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113111,Compensation and Benefits Managers,350.0,182900.0,64015000.0,28.02462380300958,False,0.0,21.01846785225718,False,0.0,0.0
113,113,113121,Human Resources Managers,4800.0,188820.0,906336000.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
113,113,113131,Training and Development Managers,870.0,156570.0,136215900.0,24.653492647058826,False,0.0,18.49011948529412,False,0.0,0.0
119,119,119013,"Farmers, Ranchers, and Other Agricultural Managers",110.0,104120.0,11453200.0,33.66921313980138,False,0.0,25.251909854851036,False,0.0,0.0
119,119,119021,Construction Managers,7460.0,134930.0,1006577800.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",1350.0,64040.0,86454000.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",6250.0,148750.0,929687500.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",2040.0,132500.0,270300000.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",980.0,97590.0,95638200.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,5560.0,186020.0,1034271200.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,2560.0,87340.0,223590400.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119071,Gambling Managers,100.0,119480.0,11948000.0,38.44117647058824,False,0.0,28.830882352941178,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",440.0,106770.0,46978800.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,720.0,78380.0,56433600.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,7660.0,152880.0,1171060800.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,2640.0,197390.0,521109600.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,280.0,88310.0,24726800.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",2720.0,118360.0,321939200.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,3230.0,98550.0,318316500.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,200.0,126200.0,25240000.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119171,Funeral Home Managers,80.0,99740.0,7979200.0,29.941176470588232,False,0.0,22.455882352941174,False,0.0,0.0
119,119,119179,"Personal Service Managers, All Other",40.0,70590.0,2823600.0,38.444852941176464,False,0.0,28.83363970588235,False,0.0,0.0
119,119,119199,"Managers, All Other",12190.0,174820.0,2131055800.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131011,"Agents and Business Managers of Artists, Performers, and Athletes",130.0,71195.0,9255350.0,29.441176470588243,False,0.0,22.080882352941185,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,15390.0,85230.0,1311689700.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",5430.0,82100.0,445803000.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131032,"Insurance Appraisers, Auto Damage",100.0,74810.0,7481000.0,28.78011204481793,False,0.0,21.585084033613448,False,0.0,0.0
131,131,131041,Compliance Officers,10570.0,87190.0,921598300.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,6980.0,89020.0,621359600.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,24460.0,91220.0,2231241200.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131075,Labor Relations Specialists,2710.0,109220.0,295986200.0,29.477941176470594,False,0.0,22.108455882352946,False,0.0,0.0
131,131,131081,Logisticians,4380.0,97510.0,427093800.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,26310.0,120490.0,3170091900.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,25540.0,119390.0,3049220600.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131121,"Meeting, Convention, and Event Planners",3400.0,67230.0,228582000.0,32.603879849812266,False,0.0,24.4529098873592,False,0.0,0.0
131,131,131131,Fundraisers,3480.0,71760.0,249724800.0,30.213507625272328,False,0.0,22.660130718954246,False,0.0,0.0
131,131,131141,"Compensation, Benefits, and Job Analysis Specialists",2780.0,90500.0,251590000.0,27.023284313725505,False,0.0,20.267463235294127,False,0.0,0.0
131,131,131151,Training and Development Specialists,9530.0,84610.0,806333300.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,25200.0,106420.0,2681784000.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",51710.0,96850.0,5008113500.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,35990.0,97120.0,3495348800.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132020,Property Appraisers and Assessors,1400.0,85890.0,120246000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
132,132,132031,Budget Analysts,1100.0,91740.0,100914000.0,34.568295114656046,False,0.0,25.926221335992032,False,0.0,0.0
132,132,132041,Credit Analysts,1610.0,103770.0,167069700.0,29.152797704447643,False,0.0,21.86459827833573,False,0.0,0.0
132,132,132051,Financial and Investment Analysts,7420.0,100860.0,748381200.0,39.89909002274943,False,0.0,29.92431751706207,False,0.0,0.0
132,132,132052,Personal Financial Advisors,4960.0,153320.0,760467200.0,23.862745098039216,False,0.0,17.897058823529413,False,0.0,0.0
132,132,132053,Insurance Underwriters,2010.0,109320.0,219733200.0,33.06693711967546,False,0.0,24.800202839756597,False,0.0,0.0
132,132,132054,Financial Risk Specialists,730.0,111170.0,81154100.0,43.43048128342247,False,0.0,32.57286096256685,False,0.0,0.0
132,132,132061,Financial Examiners,390.0,104400.0,40716000.0,29.791075050709942,False,0.0,22.343306288032455,False,0.0,0.0
132,132,132071,Credit Counselors,200.0,60460.0,12092000.0,33.35805626598465,False,0.0,25.018542199488486,False,0.0,0.0
132,132,132072,Loan Officers,7620.0,84430.0,643356600.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
132,132,132082,Tax Preparers,1410.0,55140.0,77747400.0,15.238795518207283,False,0.0,11.429096638655462,False,0.0,0.0
