AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,4030.0,9.7,1.154,0.83,,,156.20,324900.0,2.8,77.46,106.43,#,#,#,"161,120","221,380",,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,191220.0,0.021075201338772095,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1309347000.0,False,False,0.0,0.03975295747931853,111,111
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,59230.0,2.2,16.946,0.73,,,69.43,144420.0,0.8,29.02,40.73,59.29,83.09,#,"60,370","84,720",123330.0,"172,820",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,191220.0,0.3097479343164941,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,8553996600.0,False,False,0.0,0.29783041960106926,111,111
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,1260.0,7.6,0.359,1.68,,,*,123610.0,6.2,*,*,*,*,*,"41,000","56,870",85240.0,"170,480",#,True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,191220.0,0.006589268904926263,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,155748600.0,False,False,0.0,0.004126897166800648,111,111
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,230.0,10.3,0.065,0.47,,,81.70,169940.0,3.3,48.83,60.34,78.86,96.59,#,"101,560","125,500",164030.0,"200,910",#,,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,191220.0,0.0012028030540738417,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,39086200.0,False,False,0.0,0.0012802905793242155,112,112
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,9450.0,3.4,2.704,1.11,,,83.07,172780.0,2.0,29.51,50.30,78.17,104.57,#,"61,380","104,630",162590.0,"217,510",#,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,191220.0,0.04941951678694697,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,1632771000.0,True,False,100.0,0.07324901800675508,112,112
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,10550.0,3.5,3.019,0.80,,,89.65,186470.0,1.4,48.71,63.04,81.58,106.57,#,"101,310","131,130",169680.0,"221,660",#,,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,191220.0,0.055172053132517516,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,1967258500.0,False,False,0.0,0.06687421938621337,112,112
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,1550.0,6.8,0.443,0.93,,,78.81,163930.0,2.5,45.58,56.67,72.73,99.65,#,"94,810","117,880",151280.0,"207,260",#,,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,191220.0,0.008105846668758498,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,254091500.0,False,False,0.0,0.008160992199028938,112,112
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,780.0,6.6,0.224,1.07,,,69.63,144830.0,2.0,43.78,52.39,66.52,82.14,99.92,"91,060","108,970",138360.0,"170,850","207,830",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,191220.0,0.004079071226859115,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,112967400.0,False,False,0.0,0.0034583265728516713,112,112
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,,**,**,**,,,72.41,150620.0,1.1,42.50,53.02,66.54,83.92,104.44,"88,390","110,290",138400.0,"174,560","217,240",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,191220.0,,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,,False,False,0.0,,113,113
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,2750.0,4.6,0.787,0.91,,,59.16,123060.0,2.0,30.16,45.80,57.82,72.58,84.91,"62,740","95,270",120260.0,"150,960","176,610",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,191220.0,0.014381340863926367,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,338415000.0,False,False,0.0,0.011113609093031785,113,113
