minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,16510.0,1741803700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,1460.0,172377100.0,43.30127720067601,32.475957900507005,1,0,0.0,0.0,112021,28217500.0,0.0,16.369633785462224,0.0,16.369633785462224,0.0
113,113,7960.0,890856800.0,35.60425584169499,26.703191881271245,1,0,0.0,0.0,113021,167709900.0,0.0,18.825685564728246,0.0,18.825685564728246,0.0
119,119,12790.0,1244449600.0,36.192052484669006,27.14403936350175,2,0,0.0,0.0,"119041,119121",97356800.0,0.0,7.823281874975089,0.0,7.823281874975089,0.0
131,131,20340.0,1492451100.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,144181000.0,0.0,9.660685030149397,0.0,9.660685030149397,0.0
132,132,9450.0,692913700.0,34.42229821433558,25.81672366075168,1,0,0.0,0.0,132099,68227400.0,0.0,9.846449853711942,0.0,9.846449853711942,0.0
151,151,12370.0,1078671400.0,67.78917017768813,50.8418776332661,13,2,0.0,0.0,"151211,151212,151221,151232,151241,151242,151243,151244,151251,151252,151253,151254,151255",660355300.0,200682000.0,61.2193203602135,18.604553713021406,42.6147666471921,0.567920632812814
152,152,490.0,39422900.0,56.769395497009945,42.57704662275745,3,0,0.0,0.0,"152031,152041,152051",39422900.0,0.0,100.0,0.0,100.0,0.0
171,171,590.0,44599900.0,45.412046508744346,34.059034881558254,2,0,0.0,0.0,"171011,171012",16799100.0,0.0,37.66622795118374,0.0,37.66622795118374,0.0
172,172,5490.0,537031300.0,49.54287865906604,37.15715899429953,5,0,0.0,0.0,"172071,172072,172141,172171,172199",222387800.0,0.0,41.41058444824352,0.0,41.41058444824352,0.0
173,173,2420.0,148460500.0,45.35709641232282,34.017822309242106,1,0,0.0,0.0,173023,25613000.0,0.0,17.25240047015873,0.0,17.25240047015873,0.0
191,191,1130.0,89168900.0,45.11492041998831,33.83619031499123,1,0,0.0,0.0,191029,17282200.0,0.0,19.38142110085467,0.0,19.38142110085467,0.0
192,192,1020.0,82301000.0,50.71597499266937,38.03698124450204,4,0,0.0,0.0,"192021,192042,192043,192099",41320800.0,0.0,50.20692336666626,0.0,50.20692336666626,0.0
193,193,1620.0,117308100.0,34.291589684730816,25.718692263548117,1,0,0.0,0.0,193099,17526000.0,0.0,14.940144798185292,0.0,14.940144798185292,0.0
194,194,1810.0,98374200.0,42.80084776334776,32.100635822510824,2,0,0.0,0.0,"194031,194061",34297700.0,0.0,34.86452748789825,0.0,34.86452748789825,0.0
195,195,930.0,74395200.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,12600.0,581328300.0,32.11500753587455,24.08625565190591,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,210.0,10434900.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,3150.0,336093300.0,31.888729671658695,23.916547253744017,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,2150.0,124669700.0,34.834406153033605,26.125804614775205,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,7820.0,743089200.0,30.27886553592129,22.709149151940967,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,21560.0,1094097800.0,27.37623339872817,20.53217504904613,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
253,253,6100.0,310718000.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,590.0,25470300.0,36.77205882352941,27.579044117647058,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
259,259,5460.0,191573100.0,35.72851307189543,26.79638480392157,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,1910.0,72498100.0,41.13405761992252,30.85054321494189,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
272,272,1470.0,89394900.0,26.445440618597274,19.834080463947956,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,1360.0,68986800.0,34.01165656460684,25.50874242345513,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,350.0,12465600.0,38.8057558250573,29.10431686879297,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,37260.0,3856766200.0,22.18339698800651,16.637547741004884,1,0,0.0,0.0,291129,5610400.0,0.0,0.14546902013401797,0.0,0.14546902013401797,0.0
292,292,21760.0,1040006000.0,26.98892978778047,20.24169734083536,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,510.0,27062000.0,30.29593329960977,22.72194997470733,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,29640.0,865201300.0,35.77386788048553,26.830400910364148,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,1260.0,71850800.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,8960.0,327090900.0,26.912466920975366,20.184350190731525,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,1360.0,80033800.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,1160.0,49691800.0,38.636877828054295,28.977658371040725,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,6500.0,337602300.0,38.15975687395966,28.61981765546975,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,7820.0,257637600.0,37.76842413101605,28.326318098262036,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,7140.0,249608100.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,29480.0,763736800.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,18780.0,585384500.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,4510.0,112582300.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,43841600.0,0.0,38.941823004148965,0.0,38.941823004148965,0.0
371,371,1120.0,47502400.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,15190.0,452045300.0,31.090598739495796,23.31794905462185,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,4790.0,152669300.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",144420400.0,0.0,94.59688359087257,0.0,94.59688359087257,0.0
391,391,950.0,43131000.0,37.43355119825708,28.07516339869281,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,1310.0,37736300.0,41.852941176470594,31.389705882352946,1,0,0.0,0.0,392011,3699000.0,0.0,9.802232863317284,0.0,9.802232863317284,0.0
393,393,2070.0,72033800.0,44.52560399159664,33.394202993697476,1,0,0.0,0.0,393011,35091000.0,0.0,48.71463118702609,0.0,48.71463118702609,0.0
394,394,730.0,31318100.0,36.88357843137255,27.662683823529413,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,1520.0,54782400.0,36.97549019607843,27.731617647058826,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,90.0,2798300.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,310.0,9802200.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,3860.0,115779100.0,28.20065359477124,21.15049019607843,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,7940.0,339603000.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,39440.0,1095118900.0,33.86560825622628,25.399206192169707,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
413,413,6170.0,333963900.0,39.14716025994716,29.36037019496037,1,0,0.0,0.0,413091,152392800.0,0.0,45.63151885578052,0.0,45.63151885578052,0.0
414,414,3970.0,299053300.0,39.9348283613223,29.951121270991724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
419,419,1440.0,69018300.0,36.52832465903158,27.39624349427369,1,0,0.0,0.0,419031,4088800.0,0.0,5.924225893712247,0.0,5.924225893712247,0.0
431,431,7340.0,392176200.0,35.07732980832783,26.307997356245878,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
432,432,210.0,6245400.0,49.930481283422466,37.44786096256685,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
433,433,15030.0,581775600.0,33.26644996880889,24.949837476606668,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
434,434,24720.0,868197500.0,33.18385713824197,24.887892853681475,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
435,435,9100.0,433298500.0,31.215028227603103,23.411271170702328,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
436,436,12870.0,516053800.0,32.783828035426716,24.587871026570035,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
439,439,15640.0,543294800.0,38.317980206038015,28.73848515452851,1,0,0.0,0.0,439071,3198400.0,0.0,0.5887043277425074,0.0,0.5887043277425074,0.0
451,451,170.0,8379300.0,25.53186274509804,19.14889705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
452,452,360.0,11659700.0,41.25091911764706,30.938189338235297,1,0,0.0,0.0,452041,2364600.0,0.0,20.280110122901963,0.0,20.280110122901963,0.0
454,454,1010.0,40155400.0,39.95973950477627,29.969804628582207,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
471,471,5490.0,455450400.0,34.59436274509804,25.94577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
472,472,25820.0,1283858400.0,31.929885900641253,23.947414425480932,2,0,0.0,0.0,"472011,472061",317721400.0,0.0,24.747386471903752,0.0,24.747386471903752,0.0
473,473,720.0,23824000.0,41.56557804940159,31.174183537051185,1,0,0.0,0.0,473015,5963400.0,0.0,25.031061114842174,0.0,25.031061114842174,0.0
474,474,2300.0,101855100.0,35.289165666266506,26.46687424969988,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
475,475,7170.0,449480000.0,39.01804241510125,29.26353181132594,2,0,0.0,0.0,"475011,475081",24055600.0,0.0,5.351873275785352,0.0,5.351873275785352,0.0
491,491,3880.0,281532800.0,33.89338235294118,25.420036764705888,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
492,492,1950.0,112569500.0,40.654666003930714,30.490999502948036,1,0,0.0,0.0,492092,5241600.0,0.0,4.656323426860739,0.0,4.656323426860739,0.0
493,493,9950.0,450211100.0,32.859096003397475,24.644322002548105,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
499,499,19900.0,1000534700.0,38.56536869133618,28.924026518502135,2,0,0.0,0.0,"499044,499096",34501600.0,0.0,3.4483161853357007,0.0,3.4483161853357007,0.0
511,511,3180.0,215317800.0,36.13570691434468,27.101780185758507,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
512,512,5610.0,208997800.0,34.67385620915033,26.00539215686275,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
513,513,2300.0,67500400.0,30.226038241383513,22.669528681037633,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
514,514,6380.0,305844600.0,40.18479812670989,30.138598595032423,4,0,0.0,0.0,"514021,514033,514081,514191",44069400.0,0.0,14.409082259421943,0.0,14.409082259421943,0.0
515,515,470.0,20098700.0,34.50174952135737,25.87631214101803,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
516,516,1180.0,34602600.0,37.490077243018426,28.11755793226381,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
517,517,1740.0,63368500.0,42.321195144724555,31.740896358543417,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
518,518,2860.0,172512500.0,30.529759236941032,22.897319427705774,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
519,519,9620.0,457169700.0,42.83831049267304,32.12873286950478,6,0,0.0,0.0,"519011,519032,519041,519083,519191,519198",132136400.0,0.0,28.90314034372794,0.0,28.90314034372794,0.0
531,531,2810.0,165958600.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
532,532,150.0,15683000.0,34.23028817587641,25.672716131907308,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
