AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,3920.0,4.8,1.358,0.98,,,125.13,260260.0,3.1,41.36,64.99,99.43,#,#,"86,020","135,180",206810.0,#,#,,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,134710.0,0.029099547175413853,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,1020219200.0,False,False,0.0,0.17845020419905552,111,111
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,35130.0,1.1,12.173,0.53,,,68.22,141910.0,0.7,27.91,38.11,56.28,83.18,#,"58,060","79,270",117070.0,"173,020",#,,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,134710.0,0.2607824214980328,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,4985298300.0,False,False,0.0,1.0,111,111
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,2360.0,8.2,0.817,3.82,,,*,61630.0,1.8,*,*,*,*,*,"17,410","22,170",46710.0,"80,160","124,770",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,134710.0,0.017519115136218545,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,145446800.0,False,False,0.0,0.02220304487072419,111,111
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,90.0,45.2,0.032,0.24,,,63.50,132080.0,10.0,39.64,51.39,62.53,65.00,67.09,"82,460","106,900",130060.0,"135,200","139,550",,,112011,13.092828364222402,40.67727639000807,Moderate,11,0.0,134710.0,0.0006681018484151139,0.0,0.0,0,0.40677276390008066,30.50795729250605,Low,11887200.0,False,False,0.0,0.0022432286329099305,112,112
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,2550.0,2.9,0.882,0.36,,,69.49,144530.0,1.7,41.18,49.95,62.18,81.73,102.84,"85,660","103,900",129340.0,"170,000","213,910",,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,134710.0,0.01892955237176156,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,368551500.0,True,False,100.0,0.09525407891398034,112,112
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,6340.0,3.7,2.196,0.58,,,71.86,149480.0,1.6,33.97,47.44,64.48,85.40,113.31,"70,650","98,670",134120.0,"177,630","235,690",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,134710.0,0.047064063543909136,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,947703200.0,False,False,0.0,0.1856002309529306,112,112
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,600.0,7.8,0.207,0.43,,,55.19,114790.0,2.2,32.06,45.71,51.25,60.53,79.14,"66,680","95,070",106600.0,"125,910","164,600",,,112032,12.19679144385027,39.88591800356507,Low,11,0.0,134710.0,0.004454012322767427,0.0,0.0,0,0.3988591800356507,29.9144385026738,Low,68874000.0,False,False,0.0,0.012744329810315412,112,112
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,240.0,15.3,0.083,0.40,,,69.03,143580.0,5.9,36.66,47.18,57.43,75.13,89.11,"76,250","98,130",119450.0,"156,270","185,350",,,112033,11.740196078431373,38.0171568627451,Low,11,0.0,134710.0,0.0017816049291069706,0.0,0.0,0,0.38017156862745094,28.51286764705882,Low,34459200.0,False,False,0.0,0.006077527450776517,112,112
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,4860.0,2.2,1.684,1.05,,,57.98,120590.0,1.0,33.96,42.11,52.48,65.62,84.34,"70,630","87,600",109150.0,"136,500","175,430",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,134710.0,0.03607749981441615,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,586067400.0,False,False,0.0,0.11125264731499337,113,113
55,Wisconsin,2,WI,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,1750.0,3.7,0.607,0.70,,,54.16,112660.0,1.7,31.61,41.41,50.49,62.74,74.02,"65,750","86,130",105010.0,"130,490","153,960",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,134710.0,0.012990869274738326,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,197155000.0,False,False,0.0,0.037301146280227404,113,113
