minor_group,minor_group_name,TOT_EMP,economic_value,automation_susceptibility,enhanced_automation_risk,is_potentially_at_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker,at_risk_soc_codes,potential_econ_value_at_risk,current_econ_value_at_risk,minor_potential_index,minor_iceberg_index,automation_gap,weighted_iceberg_index
111,111,7140.0,833372700.0,37.9489755662539,28.461731674690423,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,112,270.0,27014400.0,48.96301737353092,36.72226303014819,1,0,0.0,0.0,112021,8700000.0,0.0,32.205046197583506,0.0,32.205046197583506,0.0
113,113,1840.0,232284100.0,38.43021439863013,28.8226607989726,1,0,0.0,0.0,113021,36899300.0,0.0,15.885417899890694,0.0,15.885417899890694,0.0
119,119,5450.0,512706600.0,36.947096275485634,27.710322206614222,2,0,0.0,0.0,"119041,119121",42276300.0,0.0,8.245710119588864,0.0,8.245710119588864,0.0
131,131,7630.0,611538700.0,38.44150880666293,28.831131604997207,1,0,0.0,0.0,131111,67225200.0,0.0,10.992795713501042,0.0,10.992795713501042,0.0
132,132,4500.0,339826400.0,34.57970165415786,25.934776240618397,1,0,0.0,0.0,132099,5616000.0,0.0,1.6526085083442605,0.0,1.6526085083442605,0.0
151,151,3410.0,290645200.0,67.0084505066839,50.25633788001292,11,1,0.0,0.0,"151211,151212,151232,151241,151242,151243,151244,151251,151252,151254,151255",255609700.0,85619300.0,87.94561203832026,29.458356786900318,58.487255251419946,0.5615745193310459
152,152,40.0,4283200.0,58.64557931362636,43.98418448521977,2,0,0.0,0.0,"152041,152051",4283200.0,0.0,100.0,0.0,100.0,0.0
171,171,480.0,38868800.0,41.14446276291725,30.858347072187936,1,0,0.0,0.0,171011,11481000.0,0.0,29.537829827522334,0.0,29.537829827522334,0.0
172,172,2590.0,268496500.0,49.927548441586296,37.445661331189726,5,0,0.0,0.0,"172071,172072,172141,172171,172199",127684600.0,0.0,47.55540575016807,0.0,47.55540575016807,0.0
173,173,1090.0,69700900.0,48.4170283303409,36.31277124775567,2,0,0.0,0.0,"173023,173028",16764300.0,0.0,24.051769776286964,0.0,24.051769776286964,0.0
191,191,720.0,52754500.0,44.78083874592009,33.58562905944007,1,0,0.0,0.0,191029,13241300.0,0.0,25.099849301955285,0.0,25.099849301955285,0.0
192,192,960.0,76056300.0,50.71597499266937,38.03698124450204,4,0,0.0,0.0,"192021,192042,192043,192099",27615500.0,0.0,36.30928667316186,0.0,36.30928667316186,0.0
193,193,430.0,33792600.0,38.21855177391432,28.663913830435742,1,0,0.0,0.0,193099,4339500.0,0.0,12.8415688641892,0.0,12.8415688641892,0.0
194,194,1430.0,75587600.0,41.49976354178035,31.12482265633526,1,0,0.0,0.0,194031,16908000.0,0.0,22.368748313215395,0.0,22.368748313215395,0.0
195,195,540.0,47349000.0,38.03258689839572,28.52444017379679,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
211,211,4130.0,234311100.0,32.74442702442444,24.55832026831833,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
212,212,60.0,3129600.0,33.28676470588235,24.965073529411764,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
231,231,1040.0,60320000.0,36.6537748957851,27.49033117183882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
232,232,720.0,39308000.0,34.27203406615172,25.70402554961379,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
251,251,2350.0,173296900.0,30.011012084938216,22.50825906370366,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
252,252,8250.0,511474900.0,29.654125960711642,22.240594470533733,1,0,0.0,0.0,252023,6937700.0,0.0,1.3564106469349717,0.0,1.3564106469349717,0.0
253,253,3530.0,149307800.0,26.852572998896534,20.1394297491724,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
254,254,840.0,37863400.0,43.75117220801364,32.81337915601023,1,0,0.0,0.0,254013,2128000.0,0.0,5.620203151328196,0.0,5.620203151328196,0.0
259,259,4460.0,170589900.0,36.20108251633987,27.150811887254903,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
271,271,630.0,27078400.0,43.61035132886046,32.70776349664535,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
272,272,610.0,38373800.0,26.187950921141795,19.640963190856347,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
273,273,800.0,47989600.0,33.47098257219602,25.10323692914702,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
274,274,180.0,8682400.0,40.0828081232493,30.062106092436977,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
291,291,10070.0,1145537000.0,21.500367429848353,16.125275572386265,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
292,292,4380.0,233800400.0,25.30333473773877,18.977501053304074,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
299,299,130.0,8350500.0,33.85049019607844,25.387867647058826,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
311,311,5930.0,216113400.0,31.968098350451296,23.97607376283847,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
312,312,420.0,18549200.0,25.89066740537329,19.418000554029963,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
319,319,2380.0,103418800.0,24.484450122698593,18.363337592023946,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,331,890.0,69120400.0,37.65040404040404,28.23780303030303,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
332,332,680.0,35013200.0,36.705882352941174,27.52941176470588,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,333,2150.0,128764500.0,38.044836355594875,28.533627266696154,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,339,2520.0,95511500.0,36.65918640183346,27.494389801375096,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
351,351,2720.0,116600200.0,26.615126050420166,19.961344537815126,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
352,352,6850.0,230287900.0,21.41968954248366,16.064767156862747,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
353,353,12460.0,352217400.0,19.989945409982177,14.992459057486634,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
359,359,3050.0,82964800.0,38.611111111111114,28.958333333333332,1,0,0.0,0.0,359021,35255200.0,0.0,42.49416620060556,0.0,42.49416620060556,0.0
371,371,950.0,48592500.0,39.18464052287582,29.388480392156858,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
372,372,7560.0,255058100.0,29.467748210395268,22.100811157796453,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
373,373,1970.0,74121300.0,45.359272875817,34.01945465686275,2,0,0.0,0.0,"373011,373013",61480300.0,0.0,82.94552308175922,0.0,82.94552308175922,0.0
391,391,420.0,19553800.0,31.176470588235293,23.38235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
392,392,410.0,12742800.0,33.32352941176471,24.99264705882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
393,393,1090.0,28786900.0,40.96507352941177,30.72380514705882,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
394,394,110.0,4804500.0,34.50980392156863,25.88235294117647,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
395,395,440.0,14782800.0,41.1078431372549,30.83088235294118,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
396,396,190.0,7203600.0,40.50113122171946,30.375848416289596,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
397,397,270.0,16580700.0,35.95915032679739,26.969362745098042,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
399,399,2290.0,75166800.0,26.261029411764703,19.69577205882353,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
411,411,2930.0,153896200.0,32.22091524331293,24.165686432484698,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
412,412,16560.0,555340800.0,33.46436326145931,25.098272446094487,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
