minor_group,minor_group_name,SOC_Code_Cleaned,OCC_TITLE,TOT_EMP,A_MEAN,economic_value,automation_susceptibility,is_potentially_at_risk,potential_index,enhanced_automation_risk,is_currently_at_risk,estimated_zapier_apps,zapier_apps_per_worker
111,111,111011,Chief Executives,100.0,145320.0,14532000.0,37.70348139255702,False,0.0,28.27761104441777,False,0.0,0.0
111,111,111021,General and Operations Managers,6970.0,117030.0,815699100.0,43.23811442385173,False,0.0,32.428585817888795,False,0.0,0.0
111,111,111031,Legislators,70.0,44880.0,3141600.0,32.90533088235294,False,0.0,24.678998161764703,False,0.0,0.0
112,112,112021,Marketing Managers,150.0,58000.0,8700000.0,55.71130030959752,True,100.0,41.78347523219814,False,0.0,0.0
112,112,112022,Sales Managers,120.0,152620.0,18314400.0,42.214734437464315,False,0.0,31.661050828098237,False,0.0,0.0
113,113,113012,Administrative Services Managers,120.0,114940.0,13792800.0,40.91859243697479,False,0.0,30.688944327731093,False,0.0,0.0
113,113,113013,Facilities Managers,140.0,107160.0,15002400.0,40.78235294117648,False,0.0,30.58676470588236,False,0.0,0.0
113,113,113021,Computer and Information Systems Managers,310.0,119030.0,36899300.0,55.72465935526753,True,100.0,41.79349451645065,False,0.0,0.0
113,113,113031,Financial Managers,660.0,127520.0,84163200.0,43.44205443371379,False,0.0,32.58154082528535,False,0.0,0.0
113,113,113051,Industrial Production Managers,330.0,152640.0,50371200.0,32.02592223330009,False,0.0,24.019441674975067,False,0.0,0.0
113,113,113071,"Transportation, Storage, and Distribution Managers",120.0,114540.0,13744800.0,29.95125272331155,False,0.0,22.463439542483663,False,0.0,0.0
113,113,113121,Human Resources Managers,160.0,114440.0,18310400.0,26.166666666666664,False,0.0,19.624999999999996,False,0.0,0.0
119,119,119021,Construction Managers,840.0,93820.0,78808800.0,38.31066176470588,False,0.0,28.73299632352941,False,0.0,0.0
119,119,119031,"Education and Childcare Administrators, Preschool and Daycare",130.0,57110.0,7424300.0,37.67647058823529,False,0.0,28.257352941176467,False,0.0,0.0
119,119,119032,"Education Administrators, Kindergarten through Secondary",430.0,105540.0,45382200.0,37.525735294117645,False,0.0,28.144301470588236,False,0.0,0.0
119,119,119033,"Education Administrators, Postsecondary",130.0,119410.0,15523300.0,33.67846460618147,False,0.0,25.2588484546361,False,0.0,0.0
119,119,119039,"Education Administrators, All Other",130.0,92780.0,12061400.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
119,119,119041,Architectural and Engineering Managers,180.0,145160.0,26128800.0,63.00718455321059,True,100.0,47.25538841490795,False,0.0,0.0
119,119,119051,Food Service Managers,540.0,62610.0,33809400.0,27.344645550527908,False,0.0,20.50848416289593,False,0.0,0.0
119,119,119072,"Entertainment and Recreation Managers, Except Gambling",40.0,87100.0,3484000.0,41.748161764705884,False,0.0,31.311121323529413,False,0.0,0.0
119,119,119081,Lodging Managers,280.0,66330.0,18572400.0,20.308316430020287,False,0.0,15.231237322515215,False,0.0,0.0
119,119,119111,Medical and Health Services Managers,1010.0,107750.0,108827500.0,41.0829087540528,False,0.0,30.812181565539603,False,0.0,0.0
119,119,119121,Natural Sciences Managers,150.0,107650.0,16147500.0,54.44624746450305,True,100.0,40.834685598377284,False,0.0,0.0
119,119,119131,Postmasters and Mail Superintendents,80.0,73160.0,5852800.0,28.94582043343653,False,0.0,21.7093653250774,False,0.0,0.0
119,119,119141,"Property, Real Estate, and Community Association Managers",410.0,71370.0,29261700.0,35.72153700189754,False,0.0,26.79115275142315,False,0.0,0.0
119,119,119151,Social and Community Service Managers,310.0,71230.0,22081300.0,30.88368983957219,False,0.0,23.162767379679146,False,0.0,0.0
119,119,119161,Emergency Management Directors,40.0,62280.0,2491200.0,28.969362745098042,False,0.0,21.72702205882353,False,0.0,0.0
119,119,119199,"Managers, All Other",750.0,115800.0,86850000.0,35.54518329070759,False,0.0,26.658887468030695,False,0.0,0.0
131,131,131020,Buyers and Purchasing Agents,500.0,70790.0,35395000.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
131,131,131031,"Claims Adjusters, Examiners, and Investigators",180.0,74490.0,13408200.0,29.341659951651888,False,0.0,22.006244963738915,False,0.0,0.0
131,131,131041,Compliance Officers,480.0,75390.0,36187200.0,38.1764705882353,False,0.0,28.63235294117647,False,0.0,0.0
131,131,131051,Cost Estimators,340.0,72180.0,24541200.0,33.740349264705884,False,0.0,25.305261948529413,False,0.0,0.0
131,131,131071,Human Resources Specialists,920.0,66360.0,61051200.0,41.717852257181946,False,0.0,31.288389192886463,False,0.0,0.0
131,131,131075,Labor Relations Specialists,110.0,88300.0,9713000.0,29.477941176470594,False,0.0,22.108455882352946,False,0.0,0.0
131,131,131081,Logisticians,90.0,81110.0,7299900.0,42.03245436105477,False,0.0,31.524340770791078,False,0.0,0.0
131,131,131082,Project Management Specialists,1020.0,104370.0,106457400.0,44.81045751633988,False,0.0,33.60784313725491,False,0.0,0.0
131,131,131111,Management Analysts,530.0,126840.0,67225200.0,67.4488017429194,True,100.0,50.58660130718955,False,0.0,0.0
131,131,131121,"Meeting, Convention, and Event Planners",120.0,54950.0,6594000.0,32.603879849812266,False,0.0,24.4529098873592,False,0.0,0.0
131,131,131131,Fundraisers,120.0,63780.0,7653600.0,30.213507625272328,False,0.0,22.660130718954246,False,0.0,0.0
131,131,131141,"Compensation, Benefits, and Job Analysis Specialists",40.0,68120.0,2724800.0,27.023284313725505,False,0.0,20.267463235294127,False,0.0,0.0
131,131,131151,Training and Development Specialists,660.0,68730.0,45361800.0,33.999748617395674,False,0.0,25.499811463046758,False,0.0,0.0
131,131,131161,Market Research Analysts and Marketing Specialists,980.0,58740.0,57565200.0,49.710619818397156,False,0.0,37.282964863797865,False,0.0,0.0
131,131,131199,"Business Operations Specialists, All Other",1540.0,84650.0,130361000.0,40.366454689984096,False,0.0,30.274841017488068,False,0.0,0.0
132,132,132011,Accountants and Auditors,2630.0,78990.0,207743700.0,43.40007383706621,False,0.0,32.55005537779966,False,0.0,0.0
132,132,132020,Property Appraisers and Assessors,210.0,66430.0,13950300.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
132,132,132031,Budget Analysts,90.0,78040.0,7023600.0,34.568295114656046,False,0.0,25.926221335992032,False,0.0,0.0
132,132,132041,Credit Analysts,100.0,84710.0,8471000.0,29.152797704447643,False,0.0,21.86459827833573,False,0.0,0.0
132,132,132052,Personal Financial Advisors,430.0,58000.0,24940000.0,23.862745098039216,False,0.0,17.897058823529413,False,0.0,0.0
132,132,132054,Financial Risk Specialists,50.0,88760.0,4438000.0,43.43048128342247,False,0.0,32.57286096256685,False,0.0,0.0
132,132,132072,Loan Officers,780.0,77370.0,60348600.0,21.290441176470594,False,0.0,15.967830882352946,False,0.0,0.0
132,132,132081,"Tax Examiners and Collectors, and Revenue Agents",60.0,58610.0,3516600.0,33.27005347593583,False,0.0,24.952540106951876,False,0.0,0.0
132,132,132082,Tax Preparers,70.0,53980.0,3778600.0,15.238795518207283,False,0.0,11.429096638655462,False,0.0,0.0
132,132,132099,"Financial Specialists, All Other",80.0,70200.0,5616000.0,65.62418300653596,True,100.0,49.218137254901976,False,0.0,0.0
151,151,151211,Computer Systems Analysts,240.0,111340.0,26721600.0,72.19112918479289,True,100.0,54.14334688859467,False,0.0,0.0
151,151,151212,Information Security Analysts,150.0,58000.0,8700000.0,61.08883553421369,True,100.0,45.81662665066027,False,0.0,0.0
151,151,151231,Computer Network Support Specialists,360.0,62450.0,22482000.0,36.4203431372549,False,0.0,27.315257352941174,False,0.0,0.0
151,151,151232,Computer User Support Specialists,740.0,60130.0,44496200.0,68.35995989304813,True,100.0,51.26996991978609,False,0.0,0.0
151,151,151241,Computer Network Architects,40.0,114770.0,4590800.0,64.05437033968518,True,100.0,48.04077775476388,False,0.0,0.0
151,151,151242,Database Administrators,120.0,82620.0,9914400.0,71.48555211558308,True,100.0,53.61416408668731,False,0.0,0.0
151,151,151243,Database Architects,120.0,61130.0,7335600.0,74.39632809645599,True,100.0,55.79724607234199,False,0.0,0.0
151,151,151244,Network and Computer Systems Administrators,580.0,79430.0,46069400.0,63.465170278637764,True,100.0,47.59887770897832,False,0.0,0.0
151,151,151251,Computer Programmers,,78560.0,,75.6766706682673,True,100.0,56.75750300120048,False,0.0,0.0
151,151,151252,Software Developers,670.0,127790.0,85619300.0,87.10588235294118,True,100.0,65.32941176470588,True,0.0,0.0
151,151,151254,Web Developers,40.0,64560.0,2582400.0,74.42848671726756,True,100.0,55.82136503795068,False,0.0,0.0
151,151,151255,Web and Digital Interface Designers,200.0,97900.0,19580000.0,72.85982478097624,True,100.0,54.644868585732176,False,0.0,0.0
151,151,151299,"Computer Occupations, All Other",150.0,83690.0,12553500.0,49.5773034877668,False,0.0,37.182977615825095,False,0.0,0.0
152,152,152041,Statisticians,40.0,107080.0,4283200.0,55.4002557544757,True,100.0,41.55019181585678,False,0.0,0.0
152,152,152051,Data Scientists,,125330.0,,61.89090287277701,True,100.0,46.41817715458276,False,0.0,0.0
171,171,171011,"Architects, Except Landscape and Naval",100.0,114810.0,11481000.0,52.78956089478045,True,100.0,39.592170671085334,False,0.0,0.0
171,171,171021,Cartographers and Photogrammetrists,130.0,68060.0,8847800.0,40.8485092667204,False,0.0,30.636381950040303,False,0.0,0.0
171,171,171022,Surveyors,250.0,74160.0,18540000.0,29.795318127250898,False,0.0,22.346488595438174,False,0.0,0.0
172,172,172041,Chemical Engineers,60.0,104260.0,6255600.0,48.43382352941176,False,0.0,36.32536764705882,False,0.0,0.0
172,172,172051,Civil Engineers,860.0,87100.0,74906000.0,49.415341812400634,False,0.0,37.06150635930047,False,0.0,0.0
172,172,172071,Electrical Engineers,300.0,109610.0,32883000.0,55.766875602700104,True,100.0,41.825156702025076,False,0.0,0.0
172,172,172072,"Electronics Engineers, Except Computer",110.0,86820.0,9550200.0,51.40610859728506,True,100.0,38.5545814479638,False,0.0,0.0
172,172,172081,Environmental Engineers,170.0,97880.0,16639600.0,43.152406417112296,False,0.0,32.36430481283422,False,0.0,0.0
172,172,172112,Industrial Engineers,240.0,118160.0,28358400.0,48.38914027149321,False,0.0,36.29185520361991,False,0.0,0.0
172,172,172141,Mechanical Engineers,250.0,104340.0,26085000.0,54.05945604048071,True,100.0,40.54459203036054,False,0.0,0.0
172,172,172151,"Mining and Geological Engineers, Including Mining Safety Engineers",130.0,112710.0,14652300.0,44.84967320261439,False,0.0,33.637254901960794,False,0.0,0.0
172,172,172171,Petroleum Engineers,260.0,131270.0,34130200.0,53.68300653594771,True,100.0,40.26225490196078,False,0.0,0.0
172,172,172199,"Engineers, All Other",210.0,119220.0,25036200.0,50.11965240641712,True,100.0,37.58973930481284,False,0.0,0.0
173,173,173011,Architectural and Civil Drafters,210.0,60980.0,12805800.0,48.202251270878726,False,0.0,36.151688453159046,False,0.0,0.0
173,173,173013,Mechanical Drafters,70.0,58130.0,4069100.0,48.78694404591105,False,0.0,36.59020803443329,False,0.0,0.0
173,173,173022,Civil Engineering Technologists and Technicians,310.0,53150.0,16476500.0,44.472766884531595,False,0.0,33.3545751633987,False,0.0,0.0
173,173,173023,Electrical and Electronic Engineering Technologists and Technicians,210.0,79830.0,16764300.0,52.65832875206156,True,100.0,39.49374656404617,False,0.0,0.0
173,173,173025,Environmental Engineering Technologists and Technicians,50.0,67900.0,3395000.0,42.38960515713134,False,0.0,31.792203867848507,False,0.0,0.0
173,173,173028,Calibration Technologists and Technicians,,58180.0,,65.76470588235293,True,100.0,49.323529411764696,False,0.0,0.0
173,173,173029,"Engineering Technologists and Technicians, Except Drafters, All Other",110.0,81250.0,8937500.0,44.970588235294116,False,0.0,33.72794117647059,False,0.0,0.0
173,173,173031,Surveying and Mapping Technicians,130.0,55790.0,7252700.0,40.09103641456583,False,0.0,30.068277310924373,False,0.0,0.0
191,191,191013,Soil and Plant Scientists,40.0,78630.0,3145200.0,44.37418300653595,False,0.0,33.28063725490196,False,0.0,0.0
191,191,191023,Zoologists and Wildlife Biologists,290.0,70500.0,20445000.0,40.76906318082789,False,0.0,30.576797385620917,False,0.0,0.0
191,191,191029,"Biological Scientists, All Other",170.0,77890.0,13241300.0,65.10137672090113,True,100.0,48.82603254067585,False,0.0,0.0
191,191,191031,Conservation Scientists,170.0,74350.0,12639500.0,41.6395173453997,False,0.0,31.229638009049776,False,0.0,0.0
191,191,191032,Foresters,50.0,65670.0,3283500.0,32.020053475935825,False,0.0,24.01504010695187,False,0.0,0.0
192,192,192021,Atmospheric and Space Scientists,40.0,100640.0,4025600.0,50.149859943977596,True,100.0,37.6123949579832,False,0.0,0.0
192,192,192031,Chemists,140.0,88220.0,12350800.0,46.8416599516519,False,0.0,35.13124496373892,False,0.0,0.0
192,192,192041,"Environmental Scientists and Specialists, Including Health",500.0,72180.0,36090000.0,42.52941176470589,False,0.0,31.897058823529424,False,0.0,0.0
192,192,192042,"Geoscientists, Except Hydrologists and Geographers",190.0,87650.0,16653500.0,50.702361226180614,True,100.0,38.02677091963546,False,0.0,0.0
192,192,192043,Hydrologists,40.0,89960.0,3598400.0,53.208710407239835,True,100.0,39.906532805429876,False,0.0,0.0
192,192,192099,"Physical Scientists, All Other",50.0,66760.0,3338000.0,60.863846662260414,True,100.0,45.64788499669531,False,0.0,0.0
193,193,193022,Survey Researchers,40.0,78220.0,3128800.0,46.37635054021609,False,0.0,34.782262905162064,False,0.0,0.0
193,193,193033,Clinical and Counseling Psychologists,60.0,72860.0,4371600.0,19.53904665314402,False,0.0,14.654284989858017,False,0.0,0.0
193,193,193034,School Psychologists,110.0,90830.0,9991300.0,28.94607843137254,False,0.0,21.709558823529406,False,0.0,0.0
193,193,193051,Urban and Regional Planners,80.0,72860.0,5828800.0,41.63830532212886,False,0.0,31.228728991596643,False,0.0,0.0
193,193,193091,Anthropologists and Archeologists,90.0,68140.0,6132600.0,41.26321036889331,False,0.0,30.947407776669984,False,0.0,0.0
193,193,193099,"Social Scientists and Related Workers, All Other",50.0,86790.0,4339500.0,51.54831932773109,True,100.0,38.66123949579832,False,0.0,0.0
194,194,194012,Agricultural Technicians,60.0,62160.0,3729600.0,37.97610294117648,False,0.0,28.482077205882355,False,0.0,0.0
194,194,194021,Biological Technicians,230.0,44880.0,10322400.0,43.12477718360071,False,0.0,32.34358288770054,False,0.0,0.0
194,194,194031,Chemical Technicians,300.0,56360.0,16908000.0,58.22794117647059,True,100.0,43.67095588235294,False,0.0,0.0
194,194,194042,"Environmental Science and Protection Technicians, Including Health",140.0,53040.0,7425600.0,37.82174688057041,False,0.0,28.366310160427805,False,0.0,0.0
194,194,194071,Forest and Conservation Technicians,550.0,50830.0,27956500.0,31.845938375350137,False,0.0,23.8844537815126,False,0.0,0.0
194,194,194092,Forensic Science Technicians,50.0,62030.0,3101500.0,38.29595588235294,False,0.0,28.721966911764707,False,0.0,0.0
194,194,194099,"Life, Physical, and Social Science Technicians, All Other",100.0,61440.0,6144000.0,43.20588235294118,False,0.0,32.404411764705884,False,0.0,0.0
195,195,195011,Occupational Health and Safety Specialists,480.0,90460.0,43420800.0,40.63602941176471,False,0.0,30.477022058823533,False,0.0,0.0
195,195,195012,Occupational Health and Safety Technicians,60.0,65470.0,3928200.0,35.42914438502673,False,0.0,26.571858288770052,False,0.0,0.0
211,211,211012,"Educational, Guidance, and Career Counselors and Advisors",730.0,65160.0,47566800.0,32.47775263951734,False,0.0,24.358314479638008,False,0.0,0.0
211,211,211015,Rehabilitation Counselors,90.0,53260.0,4793400.0,20.582542694497153,False,0.0,15.436907020872864,False,0.0,0.0
211,211,211018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",820.0,66430.0,54472600.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
211,211,211021,"Child, Family, and School Social Workers",580.0,53390.0,30966200.0,40.67647058823529,False,0.0,30.507352941176467,False,0.0,0.0
211,211,211022,Healthcare Social Workers,220.0,63480.0,13965600.0,22.362745098039216,False,0.0,16.772058823529413,False,0.0,0.0
211,211,211023,Mental Health and Substance Abuse Social Workers,200.0,46570.0,9314000.0,25.270361990950228,False,0.0,18.952771493212673,False,0.0,0.0
211,211,211029,"Social Workers, All Other",170.0,73750.0,12537500.0,35.95915032679739,False,0.0,26.969362745098042,False,0.0,0.0
211,211,211091,Health Education Specialists,100.0,61910.0,6191000.0,34.227621483375955,False,0.0,25.670716112531967,False,0.0,0.0
211,211,211092,Probation Officers and Correctional Treatment Specialists,160.0,56040.0,8966400.0,27.36687306501548,False,0.0,20.52515479876161,False,0.0,0.0
211,211,211093,Social and Human Service Assistants,810.0,39610.0,32084100.0,36.33710407239819,False,0.0,27.252828054298643,False,0.0,0.0
