AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,SOC_Code_Cleaned,tech_intensity_score,automation_susceptibility,automation_risk_category,major_group,estimated_zapier_apps_major,major_group_emp_total,emp_proportion,estimated_zapier_apps,zapier_apps_per_worker,zapier_apps_normalized,automation_susceptibility_norm,enhanced_automation_risk,enhanced_risk_category,economic_value,is_potentially_at_risk,is_currently_at_risk,potential_index,econ_potential_index,minor_group,minor_group_name
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,100.0,7.1,0.382,0.27,,,69.87,145320.0,5.6,16.67,44.23,65.35,79.32,105.65,"34,680","92,000",135940.0,"164,990","219,760",,,111011,12.305882352941175,37.70348139255702,Low,11,0.0,14700.0,0.006802721088435374,0.0,0.0,0,0.37703481392557026,28.27761104441777,Low,14532000.0,False,False,0.0,0.015534959046009371,111,111
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,6970.0,2.5,25.468,1.10,,,56.26,117030.0,2.6,22.48,28.68,42.59,65.57,110.28,"46,750","59,660",88580.0,"136,390","229,380",,,111021,14.610314262691375,43.23811442385173,Moderate,11,0.0,14700.0,0.4741496598639456,0.0,0.0,0,0.43238114423851726,32.428585817888795,Low,815699100.0,False,False,0.0,1.0,111,111
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,70.0,21.5,0.253,1.18,,,*,44880.0,16.6,*,*,*,*,*,"29,690","34,150",35980.0,"38,750","96,510",True,,111031,10.412132352941176,32.90533088235294,Low,11,0.0,14700.0,0.004761904761904762,0.0,0.0,0,0.3290533088235294,24.678998161764703,Low,3141600.0,False,False,0.0,0.0029310310614910234,111,111
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,150.0,24.3,0.538,0.22,,,*,58000.0,*,*,*,*,*,*,*,*,,*,*,,,112021,18.60030959752322,55.71130030959752,Moderate,11,0.0,14700.0,0.01020408163265306,0.0,0.0,0,0.5571130030959752,41.78347523219814,Moderate,8700000.0,True,False,100.0,0.013742502291914677,112,112
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,120.0,10.4,0.442,0.12,,,73.37,152620.0,7.1,34.59,51.99,66.13,97.48,108.44,"71,950","108,140",137560.0,"202,760","225,550",,,112022,13.779097658480868,42.214734437464315,Moderate,11,0.0,14700.0,0.00816326530612245,0.0,0.0,0,0.42214734437464313,31.661050828098237,Low,18314400.0,False,False,0.0,0.021920983098754412,112,112
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,120.0,4.7,0.423,0.26,,,55.26,114940.0,3.7,26.26,36.33,50.90,64.28,85.33,"54,620","75,560",105870.0,"133,690","177,480",,,113012,13.081722689075631,40.91859243697479,Moderate,11,0.0,14700.0,0.00816326530612245,0.0,0.0,0,0.40918592436974793,30.688944327731093,Low,13792800.0,False,False,0.0,0.016002078449065954,113,113
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,140.0,5.1,0.511,0.59,,,51.52,107160.0,1.8,30.04,36.13,47.61,64.65,75.30,"62,480","75,150",99040.0,"134,480","156,610",,,113013,12.952941176470588,40.78235294117648,Moderate,11,0.0,14700.0,0.009523809523809525,0.0,0.0,0,0.40782352941176475,30.58676470588236,Low,15002400.0,False,False,0.0,0.01734747577988935,113,113
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,310.0,4.8,1.141,0.29,,,57.23,119030.0,3.8,36.58,43.77,51.81,64.59,84.48,"76,080","91,050",107750.0,"134,350","175,710",,,113021,19.48760385510136,55.72465935526753,Moderate,11,0.0,14700.0,0.02108843537414966,0.0,0.0,0,0.5572465935526753,41.79349451645065,Moderate,36899300.0,True,False,100.0,0.05830003562334004,113,113
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,660.0,6.5,2.393,0.46,,,61.31,127520.0,6.1,32.69,40.65,53.20,74.45,91.22,"68,000","84,560",110660.0,"154,850","189,730",,,113031,13.675329236172082,43.44205443371379,Moderate,11,0.0,14700.0,0.044897959183673466,0.0,0.0,0,0.43442054433713795,32.58154082528535,Low,84163200.0,False,False,0.0,0.10366588638014913,113,113
56,Wyoming,2,WY,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,330.0,3.6,1.207,0.82,,,73.39,152640.0,1.2,48.68,61.15,71.43,79.75,102.48,"101,260","127,200",148570.0,"165,880","213,170",,,113051,10.912063808574276,32.02592223330009,Low,11,0.0,14700.0,0.022448979591836733,0.0,0.0,0,0.3202592223330009,24.019441674975067,Low,50371200.0,False,False,0.0,0.0457390576132317,113,113
