source_job,source_title,target_job,target_title,transition_probability,transition_type,tech_intensity,hot_tech_ratio,skill_gaps,skill_overlap
29-1224.00,Radiologists,19-3039.02,"Psychologists, All Other",0.00394541669818943,general,7.386700767263426,0.217391304347826,"[{'skill': 'Programming', 'gap': 0.9906750192866476, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.7448294730822109, 'type': 'skill_upgrade'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5032898569389714, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 0.4519679476927798, 'type': 'skill_upgrade'}, {'skill': 'Systems Evaluation', 'gap': 0.4483993232245307, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.4438444314432991, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.44144569309932535, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 0.4173150905315467, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.4095456396039274, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.30428947243158383, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 0.29105097310734074, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.2862115352444665, 'type': 'skill_upgrade'}, {'skill': 'Social Perceptiveness', 'gap': 0.2590108776999305, 'type': 'skill_upgrade'}, {'skill': 'Complex Problem Solving', 'gap': 0.24130067684915502, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.20369786910284182, 'type': 'skill_upgrade'}]","[{'skill': 'Active Learning', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Coordination', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.14588304126531648, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.24284550622181367, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.9907964512802954, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 1.1582846343101438, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,25-1071.00,"Health Specialties Teachers, Postsecondary",0.003687396376170311,general,7.504201680672268,0.2571428571428571,"[{'skill': 'Learning Strategies', 'gap': 1.3243370792979763, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 1.2916060630759736, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 1.2198441107845217, 'type': 'skill_upgrade'}, {'skill': 'Time Management', 'gap': 0.7620293646777263, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5032898569389714, 'type': 'skill_upgrade'}, {'skill': 'Management of Financial Resources', 'gap': 0.2713036900232272, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2415663155942307, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.23003321993542958, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.20369786910284182, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 0.14374241810930627, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.14241232451772884, 'type': 'skill_upgrade'}]","[{'skill': 'Writing', 'gap': 0.18902106443258226, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.2130453270927838, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.23502333280024534, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.24284550622181367, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.2641952633025848, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.26761564688962136, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5373248734289375, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.5610886202512175, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.9907964512802954, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 1.1841430420616674, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 1.6188179856245632, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.0036861802934609524,general,6.54607843137255,0.2916666666666667,"[{'skill': 'Learning Strategies', 'gap': 1.5362310119856526, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 1.5185098309136444, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 1.308955393721891, 'type': 'skill_upgrade'}, {'skill': 'Operations Analysis', 'gap': 1.2198441107845217, 'type': 'skill_upgrade'}, {'skill': 'Programming', 'gap': 0.9906750192866476, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.9635833293666811, 'type': 'skill_upgrade'}, {'skill': 'Management of Financial Resources', 'gap': 0.5217378654292835, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5032898569389714, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.4831326311884615, 'type': 'skill_upgrade'}, {'skill': 'Systems Evaluation', 'gap': 0.21523167514777497, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.21304532709278368, 'type': 'skill_upgrade'}]","[{'skill': 'Active Learning', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Material Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.18902106443258226, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.26761564688962136, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.3128830898779884, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.4519679476927798, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.5283905266051695, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5373248734289375, 'type': 'skill_overlap'}, {'skill': 'Social Perceptiveness', 'gap': 0.5396059952081877, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.5483947697099132, 'type': 'skill_overlap'}, {'skill': 'Service Orientation', 'gap': 0.7066660089722855, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.7620293646777264, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.7641188100223227, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.9762941992371186, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,19-3033.00,Clinical and Counseling Psychologists,0.003681826780331069,general,6.436308316430021,0.1724137931034483,"[{'skill': 'Persuasion', 'gap': 1.2480926305701912, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 0.9039358953855596, 'type': 'skill_upgrade'}, {'skill': 'Social Perceptiveness', 'gap': 0.820201112716445, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.744868988269678, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 0.6544776968609456, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.6533396257870017, 'type': 'skill_upgrade'}, {'skill': 'Programming', 'gap': 0.4755240092575913, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.30428947243158383, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.2862115352444665, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.2482880572064785, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.2047728198019636, 'type': 'skill_upgrade'}]","[{'skill': 'Active Learning', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.22690376783767074, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.26761564688962136, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.5059281379621114, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.6518397705791419, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.7620293646777264, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 0.828375846536278, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 1.537382819488336, 'type': 'skill_overlap'}]"
29-1224.00,Radiologists,19-3039.03,"Psychologists, All Other",0.0036800782502694044,general,7.1716577540106945,0.2272727272727272,"[{'skill': 'Persuasion', 'gap': 1.0065263149759605, 'type': 'skill_upgrade'}, {'skill': 'Programming', 'gap': 0.7330995142721195, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 0.6544776968609456, 'type': 'skill_upgrade'}, {'skill': 'Technology Design', 'gap': 0.6339364008991324, 'type': 'skill_upgrade'}, {'skill': 'Management of Financial Resources', 'gap': 0.5217378654292835, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5032898569389714, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.44144569309932535, 'type': 'skill_upgrade'}, {'skill': 'Critical Thinking', 'gap': 0.2862115352444665, 'type': 'skill_upgrade'}, {'skill': 'Active Listening', 'gap': 0.28516528024915466, 'type': 'skill_upgrade'}, {'skill': 'Social Perceptiveness', 'gap': 0.2590108776999305, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.2482880572064785, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.21304532709278368, 'type': 'skill_upgrade'}]","[{'skill': 'Complex Problem Solving', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Instructing', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Judgment and Decision Making', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Reading Comprehension', 'gap': 0.23502333280024534, 'type': 'skill_overlap'}, {'skill': 'Active Learning', 'gap': 0.24920265493004812, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.365774095045309, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.3780421288651643, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.4413453830561565, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.4483993232245308, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.5059281379621114, 'type': 'skill_overlap'}, {'skill': 'Speaking', 'gap': 0.5146454747877336, 'type': 'skill_overlap'}, {'skill': 'Monitoring', 'gap': 0.9907964512802954, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 1.2680602817677515, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,51-9162.00,Computer Numerically Controlled Tool Programmers,0.0018878370856357013,general,7.453740014524329,0.1111111111111111,"[{'skill': 'Equipment Selection', 'gap': 2.380807708739588, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 2.1622371077237785, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 2.096243597427381, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 1.6377417319538803, 'type': 'skill_upgrade'}, {'skill': 'Operations Monitoring', 'gap': 1.544076058877064, 'type': 'skill_upgrade'}, {'skill': 'Monitoring', 'gap': 1.3036795411582838, 'type': 'skill_upgrade'}, {'skill': 'Troubleshooting', 'gap': 0.9841464540697301, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.8828913861986507, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5234214512165299, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.4363533996878287, 'type': 'skill_upgrade'}, {'skill': 'Management of Material Resources', 'gap': 0.2778350147212904, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.2492026549300482, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.22067269152807834, 'type': 'skill_upgrade'}]","[{'skill': 'Systems Evaluation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Writing', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.19260696486071427, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.23079910435051532, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 0.7640845819262762, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 0.9382258733307163, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 1.0054194868714776, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 1.2482505243011763, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,17-3012.00,Electrical and Electronics Drafters,0.0017980277811186056,general,17.786996904024765,0.2894736842105263,"[{'skill': 'Service Orientation', 'gap': 0.9549540661787639, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.9111733206287311, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.7650005825472365, 'type': 'skill_upgrade'}, {'skill': 'Judgment and Decision Making', 'gap': 0.5597134098218094, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.4370479260292742, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.4363533996878287, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 0.42378786537535273, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.3937938842345459, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 0.2994633710610545, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 0.26761564688962125, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.2492026549300482, 'type': 'skill_upgrade'}, {'skill': 'Troubleshooting', 'gap': 0.17058538537208645, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.14241232451772878, 'type': 'skill_upgrade'}]","[{'skill': 'Installation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Time Management', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.28516528024915466, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.43046335029554994, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.6280684297337618, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.7440104202848937, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.8025290202529751, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.8876888628865982, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 0.9474648815885827, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 1.2678728017982648, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 5.210950601447767, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,17-3011.00,Architectural and Civil Drafters,0.0017468338577044606,general,16.712999273783588,0.3209876543209876,"[{'skill': 'Negotiation', 'gap': 1.268290439486208, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 1.2032421233852424, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 1.094785318886327, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 1.0821564312258154, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.9111733206287311, 'type': 'skill_upgrade'}, {'skill': 'Monitoring', 'gap': 0.6518397705791419, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.4984053098600964, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.4370479260292742, 'type': 'skill_upgrade'}, {'skill': 'Reading Comprehension', 'gap': 0.43388922978506905, 'type': 'skill_upgrade'}, {'skill': 'Time Management', 'gap': 0.3962552696324174, 'type': 'skill_upgrade'}, {'skill': 'Coordination', 'gap': 0.3141492944932541, 'type': 'skill_upgrade'}, {'skill': 'Equipment Maintenance', 'gap': 0.2994633710610545, 'type': 'skill_upgrade'}, {'skill': 'Repairing', 'gap': 0.2966923427452681, 'type': 'skill_upgrade'}, {'skill': 'Persuasion', 'gap': 0.2616968418937495, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.22067269152807834, 'type': 'skill_upgrade'}, {'skill': 'Systems Analysis', 'gap': 0.21304532709278368, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.2047728198019637, 'type': 'skill_upgrade'}, {'skill': 'Operations Monitoring', 'gap': 0.17763706872037005, 'type': 'skill_upgrade'}]","[{'skill': 'Installation', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Personnel Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Science', 'gap': 0.28054431012560876, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.5027097434357388, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.6636309983723058, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 1.2678728017982648, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 1.3964004952401767, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 1.5281691638525525, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 4.6957995914187105, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,19-4061.00,Social Science Research Assistants,0.001738809091252421,general,17.916577540106953,0.696969696969697,"[{'skill': 'Reading Comprehension', 'gap': 1.120880510278094, 'type': 'skill_upgrade'}, {'skill': 'Learning Strategies', 'gap': 1.094785318886327, 'type': 'skill_upgrade'}, {'skill': 'Writing', 'gap': 0.7875877684690917, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.5750630605648347, 'type': 'skill_upgrade'}, {'skill': 'Science', 'gap': 0.5610886202512175, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.5584610674821253, 'type': 'skill_upgrade'}, {'skill': 'Speaking', 'gap': 0.5352312937792425, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.5234214512165299, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.2482880572064785, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.20944963185015797, 'type': 'skill_upgrade'}]","[{'skill': 'Active Learning', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Active Listening', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Critical Thinking', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Material Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Mathematics', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.43046335029554994, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.6746435357938144, 'type': 'skill_overlap'}, {'skill': 'Complex Problem Solving', 'gap': 0.7440104202848937, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 1.5281691638525525, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 2.5357456035965296, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 4.220275582161119, 'type': 'skill_overlap'}]"
15-1251.00,Computer Programmers,17-3013.00,Mechanical Drafters,0.0017339480496828417,general,16.19770444763271,0.4146341463414634,"[{'skill': 'Learning Strategies', 'gap': 0.8828913861986507, 'type': 'skill_upgrade'}, {'skill': 'Instructing', 'gap': 0.8727067993756574, 'type': 'skill_upgrade'}, {'skill': 'Operation and Control', 'gap': 0.4370479260292742, 'type': 'skill_upgrade'}, {'skill': 'Equipment Selection', 'gap': 0.3674085970277141, 'type': 'skill_upgrade'}, {'skill': 'Negotiation', 'gap': 0.261710725608265, 'type': 'skill_upgrade'}, {'skill': 'Active Learning', 'gap': 0.2492026549300482, 'type': 'skill_upgrade'}, {'skill': 'Service Orientation', 'gap': 0.2482880572064785, 'type': 'skill_upgrade'}, {'skill': 'Mathematics', 'gap': 0.22067269152807834, 'type': 'skill_upgrade'}]","[{'skill': 'Management of Financial Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Management of Material Resources', 'gap': 0.0, 'type': 'skill_overlap'}, {'skill': 'Operations Analysis', 'gap': 0.19260696486071427, 'type': 'skill_overlap'}, {'skill': 'Systems Evaluation', 'gap': 0.43046335029554994, 'type': 'skill_overlap'}, {'skill': 'Systems Analysis', 'gap': 0.8876888628865982, 'type': 'skill_overlap'}, {'skill': 'Technology Design', 'gap': 0.9382258733307163, 'type': 'skill_overlap'}, {'skill': 'Quality Control Analysis', 'gap': 1.1461268728894143, 'type': 'skill_overlap'}, {'skill': 'Programming', 'gap': 4.953375096433239, 'type': 'skill_overlap'}]"
