O*NET-SOC Code,Title,Modified BLS Super Sector,software_automation_risk,software_automation_reason,software_and_robotics_automation_risk,software_and_robotics_automation_reason,software_only_adoption_rate,software_and_robotics_adoption_rate,automation_adoption_rate_reason
11-1011.00,Chief Executives,MANAGEMENT,2.0,"Chief Executives primarily engage in strategic thinking, relationship building, high-stakes decision making, and leadership - all activities identified as safe from software automation. Their work involves framing strategy, tackling ambiguous problems, deep domain expertise, and ethical judgment rather than templated data entry or rule-based workflows.",1.0,"Chief Executive roles are entirely knowledge-based and relationship-focused, with no physical or repetitive assembly components. The position requires human-centric leadership, adaptability in variable environments, creative problem-solving, and fine judgment - all areas that remain safe from robotics automation.",6.0,4.0,"Management industry adopts software automation at moderate pace for operational efficiency (analytics, reporting tools), but executive roles remain human-centered. Robotics has minimal relevance for C-suite positions. Cultural resistance to automating leadership functions and high stakes of executive decisions slow adoption rates."
11-1011.03,Chief Sustainability Officers,MANAGEMENT,3.0,"Chief Sustainability Officers primarily engage in strategic thinking, relationship building, creative problem-solving, and high-stakes decision making - all activities identified as safe from software automation. Their work involves framing novel sustainability strategies, tackling ambiguous environmental problems, and providing ethical judgment on complex issues.",2.0,"The role remains highly protected even with robotics integration, as it centers on human-centric leadership, adaptability in variable organizational environments, creative strategic expression, and on-the-fly problem solving for complex sustainability challenges. Physical robotics adds minimal automation potential to this knowledge-based executive role.",6.0,4.0,"Management industry shows moderate adoption of software automation tools for data analysis and reporting. However, robotics adoption is slower due to the human-centric nature of executive roles. Organizations are cautious about automating strategic decision-making positions, and implementation requires significant cultural change and executive buy-in."
11-1021.00,General and Operations Managers,MANAGEMENT,4.0,"General and Operations Managers engage in strategic thinking, relationship building, and complex decision-making that require human judgment. While some administrative tasks may be automated, core management functions like leadership, coaching, and handling ambiguous problems remain largely safe from software-only automation.",3.0,"Even with robotics integration, management roles remain relatively protected due to their emphasis on human-centric activities like team development, strategic planning, and stakeholder relationship management. The physical aspects of this role are minimal, so robotics adds little additional automation risk.",6.0,5.0,"Management industry adopts software automation at moderate pace for efficiency gains in reporting and data analysis. However, robotics adoption is slower as management roles are primarily knowledge-based. Implementation requires significant training and cultural change management across organizations."
11-1031.00,Legislators,GOVERNMENT,2.0,"Legislators engage primarily in high-stakes ethical/legal judgment, framing strategy & designing novel solutions, and tackling ambiguous problems without clear precedents. Their work involves complex political negotiations, constituency representation, and policy development that requires deep domain expertise and relationship building - all areas identified as safe from software automation.",2.0,"Legislative work is fundamentally human-centric, requiring adaptability in variable political environments, creative problem-solving, and interpersonal relationship management. The role involves no physical tasks that could be automated by robotics, and the core functions remain centered on human judgment, negotiation, and representation.",4.0,3.0,"Government institutions are traditionally slow to adopt new technologies due to regulatory constraints, security concerns, and bureaucratic processes. While some administrative support tools may be adopted at moderate pace, core legislative functions will see minimal automation adoption due to the inherently human nature of political decision-making and public accountability requirements."
11-2011.00,Advertising and Promotions Managers,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Advertising managers blend strategic thinking, creative problem-solving, and relationship building with some routine tasks. While data analysis and reporting aspects are vulnerable to software automation, the core duties of developing novel campaigns, managing stakeholder relationships, and making high-stakes creative decisions require human judgment and creativity.",3.0,"Robotics adds minimal additional risk since this role is primarily knowledge-based with limited physical components. The job remains centered on strategic planning, creative thinking, relationship management, and complex decision-making that require human insight, emotional intelligence, and adaptability to changing market conditions.",7.0,6.0,"Media and communications industry adopts software automation relatively quickly for data analytics, campaign optimization, and performance tracking. However, robotics adoption is slower as the industry is primarily knowledge-based. Creative agencies may resist full automation to preserve human creativity and client relationships."
11-2021.00,Marketing Managers,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Marketing Managers engage in strategic thinking, creative problem-solving, relationship building, and high-stakes decision-making - all safe duties. However, some routine reporting, data compilation, and standardized correspondence tasks are vulnerable to software automation, creating moderate risk.",3.0,"Robotics adds minimal additional risk since Marketing Managers work primarily in office environments with cognitive tasks. The role remains centered on human-centric activities like relationship building, creative strategy development, and complex decision-making that require human judgment and interpersonal skills.",7.0,6.0,"Media and communications industry is generally quick to adopt new technologies for competitive advantage. Marketing automation tools are already widely used. However, full automation adoption may be slower due to the need for human creativity, relationship management, and strategic thinking that defines marketing leadership roles."
11-2022.00,Sales Managers,RETAIL_TRADE,4.0,"Sales Managers have moderate software automation risk. While some administrative tasks like reporting, data analysis, and scheduling can be automated, core duties requiring strategic thinking, relationship building, coaching, and high-stakes decision-making remain safe. The role involves significant human judgment and interpersonal skills that current AI cannot replicate.",3.0,"Adding robotics doesn't significantly increase automation risk for Sales Managers since the role is primarily cognitive and interpersonal. The position involves strategic planning, team leadership, customer relationship management, and complex problem-solving that require human creativity, emotional intelligence, and adaptability in variable business environments.",6.0,4.0,"Retail trade shows moderate adoption of software automation tools like CRM systems, analytics platforms, and sales management software. However, robotics adoption is slower due to the human-centric nature of sales management. Training costs and the need for maintaining personal relationships with customers and teams limit rapid automation adoption."
11-2032.00,Public Relations Managers,MEDIA_AND_COMMUNICATIONS_SERVICES,4.0,"Public Relations Managers engage in strategic communication planning, relationship building, and creative content development - activities requiring human judgment, empathy, and adaptability. While some routine tasks like basic reporting may be automated, core duties involve tackling ambiguous problems, building relationships, and high-stakes judgment calls that remain largely human-centric.",3.0,"Even with advanced robotics, PR management remains fundamentally human-centered work. The role requires creative physical expression in events, adaptability in variable environments, and human-centric relationship building. Robotics may assist with event logistics but cannot replace the strategic thinking, empathy, and social influence required for effective public relations management.",7.0,5.0,"The media and communications industry is generally quick to adopt new technologies for efficiency and competitive advantage. Software tools for content creation, analytics, and campaign management are readily embraced. However, robotics adoption is slower due to the relationship-focused nature of PR work and the industry's emphasis on human creativity and strategic thinking."
11-2033.00,Fundraising Managers,MANAGEMENT_CONSULTING_SERVICES,4.0,"Fundraising managers have mixed automation risk. While some tasks like data entry, donor research, and routine reporting are vulnerable to software automation, core duties requiring strategic thinking, relationship building, stakeholder engagement, and creative campaign development remain largely protected from short-term automation.",3.0,"Long-term automation risk remains moderate as fundraising management is primarily knowledge-based work requiring human judgment, creativity, and interpersonal skills. The role involves strategic planning, relationship management, and ethical decision-making that are difficult to automate even with advanced robotics capabilities.",6.0,4.0,"Management consulting services industry adopts software automation at moderate pace due to client expectations for efficiency and data-driven insights. However, robotics adoption is slower as the industry relies heavily on human expertise, relationship building, and customized strategic solutions that require human judgment and creativity."
11-3012.00,Administrative Services Managers,ADMINISTRATIVE_SUPPORT_WASTE_SERVICES,6.0,"Administrative Services Managers face moderate software automation risk. While they perform templated data entry, rule-based admin workflows, and metric-driven reporting (vulnerable duties), they also engage in strategic planning, relationship building, complex problem-solving, and high-stakes decision-making that require human judgment and creativity (safe duties).",5.0,"With robotics added, the risk remains moderate as this role is primarily office-based with minimal physical tasks. The job involves human-centric management, adaptability in variable organizational environments, and creative problem-solving which are protected from both software and robotics automation.",6.0,4.0,"Administrative support and waste services industry has moderate software adoption due to cost-benefit considerations and need for staff training. Robotics adoption is slower as the industry focuses more on process optimization than physical automation, with budget constraints limiting rapid technology implementation."
11-3013.00,Facilities Managers,ADMINISTRATIVE_SUPPORT_WASTE_SERVICES,4.0,"Facilities Managers have mixed automation risk. While they handle some templated reporting and administrative workflows that are vulnerable, their core duties involve strategic planning, relationship building, high-stakes decision making, and tackling ambiguous facility problems that require human judgment and expertise.",3.0,"With robotics, some physical inspection and maintenance oversight tasks could be automated. However, the role remains largely safe due to its emphasis on human-centric management, adaptability in variable facility environments, creative problem-solving for unique facility challenges, and the need for interpersonal leadership skills.",6.0,4.0,"The administrative support and facilities management industry has moderate adoption rates for software automation (building management systems, scheduling tools). However, robotics adoption is slower due to the diverse, complex nature of facilities requiring human oversight, high implementation costs, and the need for extensive customization across different building types."
11-3013.01,Security Managers,,3.0,"Security Managers primarily engage in strategic planning, risk assessment, policy development, and leadership activities that require high-stakes ethical/legal judgment, deep domain expertise, and relationship building. These core functions align with safe duties from automation, though some administrative reporting tasks may face moderate risk.",2.0,"The role involves minimal physical tasks that could be automated through robotics. Security management requires human-centric decision making, adaptability in variable security environments, and on-the-fly problem solving during emergencies. Physical security assessments and emergency response require human judgment and adaptability.",6.0,4.0,"Security industry adopts software automation moderately for monitoring and reporting systems, but adoption is cautious due to high-stakes nature of security decisions. Robotics adoption is slower as security management requires human judgment, relationship building with law enforcement, and complex threat assessment that current technology cannot reliably handle."
11-3021.00,Computer and Information Systems Managers,TECHNOLOGY_AND_SOFTWARE_DEVELOPMENT,3.0,"Computer and Information Systems Managers primarily engage in strategic planning, team leadership, and high-stakes decision-making. While some administrative tasks like reporting may be automated, their core duties involve framing strategy, tackling ambiguous problems, building relationships, and providing deep domain expertise - all areas identified as safe from software automation.",2.0,"This role is primarily knowledge-based and managerial, with minimal physical components that robotics could address. The job focuses on human-centric leadership, creative problem-solving, and adaptability in variable IT environments - all areas that remain safe from both software and robotics automation according to the premises.",8.0,7.0,"The technology and software development industry is highly receptive to automation adoption, being early adopters of new technologies. However, management roles require significant organizational change management and leadership development, which may slow full automation adoption compared to technical roles."
11-3031.00,Financial Managers,FINANCE_AND_INSURANCE,4.0,"Financial Managers have moderate software automation risk. While some tasks like routine reporting, data processing, and compliance documentation are vulnerable, their core responsibilities involve strategic decision-making, relationship building, leadership, and high-stakes financial judgment that require human expertise and cannot be easily automated by software alone.",3.0,"Adding robotics doesn't significantly increase automation risk for Financial Managers since their work is primarily cognitive and relationship-based rather than physical. The role involves strategic planning, team leadership, stakeholder communication, and complex financial decision-making that requires human judgment, creativity, and interpersonal skills that robotics cannot replicate.",7.0,6.0,"The finance and insurance industry has been relatively quick to adopt software automation tools like AI-powered analytics, automated reporting systems, and algorithmic trading. However, robotics adoption is slower as most financial management work is cognitive rather than physical. Regulatory requirements and the need for human oversight in financial decisions also moderate the pace of full automation adoption."
11-3031.01,Treasurers and Controllers,FINANCE_AND_INSURANCE,4.0,"Treasurers and Controllers face moderate software automation risk. While routine tasks like data entry, standardized reporting, and basic calculations are vulnerable, the role requires strategic financial planning, high-stakes judgment, relationship building, and complex problem-solving that remain difficult to automate.",4.0,"Adding robotics doesn't significantly increase automation risk for this primarily office-based role. The position involves strategic decision-making, regulatory compliance, team leadership, and complex financial analysis that require human expertise, judgment, and interpersonal skills that robotics cannot replicate.",7.0,6.0,"The finance industry rapidly adopts software automation for efficiency and compliance. However, robotics adoption is slower due to the office-based nature of financial work and regulatory requirements that favor human oversight in critical financial decisions."
11-3031.03,Investment Fund Managers,FINANCE_AND_INSURANCE,4.0,"Investment Fund Managers engage in strategic decision-making, complex analysis, and relationship building - activities that align with 'safe duties' like framing strategy, tackling ambiguous problems, and deep domain expertise. However, some routine reporting and data processing tasks could be automated, creating moderate risk.",3.0,"Robotics adds minimal additional risk since Investment Fund Managers work primarily in office environments with cognitive tasks. The role remains protected by requirements for human judgment, relationship management, ethical decision-making, and creative problem-solving in complex financial markets.",7.0,6.0,"The finance industry rapidly adopts software automation for efficiency and competitive advantage, with established fintech infrastructure. However, regulatory requirements, fiduciary responsibilities, and the need for human oversight in high-stakes investment decisions moderate the pace of full automation adoption."
11-3051.00,Industrial Production Managers,MANUFACTURING,4.0,"Industrial Production Managers have moderate software automation risk. While some tasks like data entry, reporting, and scheduling can be automated, their core responsibilities involve strategic decision-making, leadership, problem-solving in ambiguous situations, and building relationships - all areas that remain safe from software automation according to the premises.",3.0,"With robotics added, the risk remains relatively low. While some physical inspection and monitoring tasks could be automated, Industrial Production Managers primarily focus on human-centric leadership, strategic planning, and adaptability in variable manufacturing environments - duties that are protected from both software and robotics automation.",6.0,5.0,"Manufacturing industry has moderate adoption rates for automation technologies. Software adoption is faster due to existing ERP/MES systems, but robotics adoption is slower due to high capital costs, complex integration requirements, and need for specialized training across diverse manufacturing environments."
11-3051.01,Quality Control Systems Managers,MANUFACTURING,4.0,"Quality Control Systems Managers have moderate software automation risk. While they perform some routine reporting and data analysis tasks that could be automated, their core responsibilities involve high-stakes quality judgment, strategic decision-making, team leadership, and complex problem-solving that require human expertise and cannot be easily automated by software alone.",3.0,"With robotics integration, some inspection and monitoring tasks could be automated, but Quality Control Systems Managers primarily focus on strategic oversight, team management, regulatory compliance, and complex decision-making. Their role involves human-centric leadership, adaptability in variable manufacturing environments, and creative problem-solving that robotics cannot replicate.",6.0,5.0,"Manufacturing industry has moderate adoption rates for automation technologies. While software tools for quality management and data analysis are increasingly adopted, full robotics integration for managerial roles is slower due to high implementation costs, need for extensive training, and regulatory compliance requirements in quality control systems."
11-3051.02,Geothermal Production Managers,ENERGY,3.0,"Geothermal Production Managers primarily engage in strategic planning, team leadership, safety oversight, and complex problem-solving requiring deep domain expertise. While some administrative tasks like reporting and data entry are vulnerable, core duties involve high-stakes decision-making, relationship building, and tackling ambiguous operational challenges that align with safe duties from automation.",2.0,"The role involves significant human-centric leadership, on-site adaptability in variable geothermal environments, and complex physical problem-solving. Most duties require fine-motor oversight of specialized equipment, creative strategic thinking, and human judgment for safety-critical operations that are well-protected from robotics automation in the foreseeable future.",6.0,4.0,"The energy sector, particularly renewable energy, shows moderate adoption of software automation for monitoring and reporting systems. However, robotics adoption is slower due to high safety standards, specialized equipment requirements, and significant capital investment needs for geothermal operations. Training personnel and retrofitting complex geothermal systems creates additional barriers to rapid automation adoption."
11-3051.03,Biofuels Production Managers,ENERGY,3.0,"Biofuels Production Managers have moderate software automation risk. While they handle data analysis, reporting, and monitoring tasks that could be automated, their core responsibilities involve strategic decision-making, team leadership, safety oversight, and complex problem-solving in dynamic industrial environments - activities that require human judgment and expertise.",4.0,"With robotics integration, some operational monitoring and control tasks could be automated, and robotic systems could handle routine equipment operations. However, the role's emphasis on strategic management, safety compliance, team coordination, and handling complex industrial processes requiring human oversight keeps automation risk moderate.",6.0,5.0,"The energy industry, particularly biofuels, adopts software automation at moderate-to-good pace for monitoring and data analysis systems. However, robotics adoption is slower due to high capital costs, safety regulations, and the need for specialized equipment in biofuels production facilities, making comprehensive automation implementation more gradual."
11-3051.04,Biomass Power Plant Managers,ENERGY,4.0,"Biomass Power Plant Managers have moderate software automation risk. While routine reporting, data compilation, and some administrative tasks are vulnerable, the role requires high-stakes safety judgment, strategic planning, team leadership, and complex problem-solving in variable environments - all safe from software automation.",3.0,"Adding robotics slightly reduces risk as managers focus on oversight rather than physical operations. The role emphasizes human-centric leadership, safety management, strategic decision-making, and adaptability in complex industrial environments - areas where human judgment and interpersonal skills remain essential.",6.0,5.0,"The energy industry adopts software automation at moderate pace for operational efficiency and compliance monitoring. However, robotics adoption is slower due to high safety standards, regulatory requirements, and significant capital investments needed for industrial automation in power generation facilities."
11-3051.06,Hydroelectric Production Managers,ENERGY,4.0,"Hydroelectric Production Managers have moderate software automation risk. While routine reporting, data entry, and some administrative tasks could be automated, the role requires high-stakes decision making, complex problem solving, safety oversight, and leadership responsibilities that are difficult to automate with software alone.",3.0,"Even with robotics, this role remains relatively safe due to its emphasis on strategic management, safety oversight, emergency response, and human coordination. The physical inspection and maintenance tasks could be partially automated, but the managerial, decision-making, and interpersonal aspects remain human-centric.",6.0,5.0,"The energy industry has moderate adoption rates for automation technologies. Software automation (SCADA systems, predictive maintenance) is already common, but full robotics integration is slower due to high safety standards, regulatory requirements, and the critical nature of power infrastructure requiring human oversight."
11-3061.00,Purchasing Managers,MANAGEMENT,4.0,"Purchasing Managers have moderate software automation risk. While routine tasks like data entry, purchase order processing, and basic reporting can be automated, the role requires strategic thinking, vendor relationship management, complex negotiations, and high-stakes decision-making that involve human judgment and interpersonal skills.",3.0,"Adding robotics doesn't significantly increase automation risk for Purchasing Managers since the role is primarily knowledge-based and relationship-focused. The core responsibilities involve strategic planning, vendor negotiations, team leadership, and complex problem-solving that require human expertise and cannot be easily replicated by robotics.",6.0,4.0,"Management industry adopts software automation at moderate pace due to established procurement systems and ROI considerations. However, robotics adoption is slower as management roles are knowledge-intensive. Organizations invest cautiously in automation tools while maintaining human oversight for strategic decisions and relationship management."
