O*NET-SOC Code,Title,basic_skills,cognitive_skills,social_skills,operations_skills,maintenance_skills,technical_skills,management_skills,intermediate_automation_risk,automation_risk,automation_risk_score,missing_job
15-1253.00,Software Quality Assurance Analysts and Testers,3.8774999999999995,3.302857142857143,2.6033333333333335,2.785,1.4675,2.935,2.4150000000000005,0.53,0.7754588235294119,81.8,False
15-1252.00,Software Developers,3.375,3.1957142857142857,2.6016666666666666,2.2800000000000002,1.0625,3.3425000000000002,2.706666666666667,0.59,0.7234133653461385,78.5,True
15-1251.00,Computer Programmers,3.375,3.1957142857142857,2.6016666666666666,2.2800000000000002,1.0625,3.3425000000000002,2.706666666666667,0.59,0.7234133653461385,78.5,False
15-1243.01,Data Warehousing Specialists,3.5024999999999995,3.1614285714285715,2.788333333333334,2.0949999999999998,1.185,2.8125,2.563333333333333,0.55,0.7051706247716479,77.2,False
15-1254.00,Web Developers,3.3725,3.392857142857143,2.856666666666667,2.185,1.3125,2.8425000000000002,2.5,0.53,0.7014278937381405,77.0,False
15-1243.00,Database Architects,3.5,3.4299999999999997,2.8966666666666665,1.9375,1.37,2.8149999999999995,2.75,0.52,0.6991706247716479,76.8,False
15-1255.00,Web and Digital Interface Designers,3.5,3.355714285714286,2.9583333333333335,1.5925,1.06,2.8149999999999995,2.7533333333333334,0.55,0.6928785982478098,76.3,True
15-1255.01,Video Game Designers,3.5,3.355714285714286,2.9583333333333335,1.5925,1.06,2.8149999999999995,2.7533333333333334,0.55,0.6928785982478098,76.3,False
15-1242.00,Database Administrators,3.5324999999999998,3.4828571428571427,2.73,2.3125,1.25,2.69,2.5833333333333335,0.53,0.6778844169246646,75.2,False
15-1211.01,Health Informatics Specialists,4.095,3.6957142857142857,3.186666666666667,2.2475,1.2825,2.6875,3.02,0.48,0.6735290334783431,74.9,False
15-1211.00,Computer Systems Analysts,3.7525,3.41,2.895,2.9050000000000002,1.9075,2.8449999999999998,2.936666666666667,0.45,0.6675290334783431,74.5,False
19-1029.04,Biologists,4.0,3.3757142857142854,2.9350000000000005,2.0300000000000002,1.0625,3.2175000000000002,2.645,0.57,0.634811013767209,71.9,False
13-2099.01,Financial Quantitative Analysts,3.75,3.357142857142857,2.98,1.4975,1.0,2.6899999999999995,2.8333333333333335,0.54,0.6329934640522877,71.7,False
13-2099.00,"Financial Specialists, All Other",3.75,3.357142857142857,2.98,1.4975,1.0,2.6899999999999995,2.8333333333333335,0.54,0.6329934640522877,71.7,True
19-1029.00,"Biological Scientists, All Other",4.0,3.4271428571428575,2.9599999999999995,1.905,1.125,2.9050000000000002,2.813333333333333,0.54,0.628811013767209,71.4,True
19-1029.01,Bioinformatics Scientists,4.0,3.4271428571428575,2.9599999999999995,1.905,1.125,2.9050000000000002,2.813333333333333,0.54,0.628811013767209,71.4,False
19-1029.03,Geneticists,4.0625,3.6785714285714284,3.2483333333333335,2.2800000000000002,1.03,2.94,2.8300000000000005,0.52,0.624811013767209,71.1,False
19-1029.02,Molecular and Cellular Biologists,4.1575,3.8214285714285716,3.143333333333334,2.5949999999999998,1.22,3.1550000000000002,2.936666666666667,0.51,0.622811013767209,70.9,False
15-1221.00,Computer and Information Research Scientists,3.5949999999999998,3.5342857142857147,2.8333333333333335,2.3449999999999998,1.28,3.3100000000000005,3.063333333333333,0.53,0.6023627450980392,69.2,False
19-2099.01,Remote Sensing Scientists and Technologists,3.91,3.5185714285714282,2.813333333333333,2.0949999999999998,1.125,3.2225,2.7716666666666665,0.57,0.6009107732980833,69.1,False
15-2021.00,Mathematicians,3.5649999999999995,3.5357142857142856,2.5,1.28,1.0,3.1850000000000005,2.4350000000000005,0.63,0.6015947712418301,69.1,False
19-2099.00,"Physical Scientists, All Other",3.91,3.5185714285714282,2.813333333333333,2.0949999999999998,1.125,3.2225,2.7716666666666665,0.57,0.6009107732980833,69.1,True
15-1241.00,Computer Network Architects,3.7175000000000002,3.4285714285714284,3.0833333333333335,2.9375,2.185,3.0300000000000002,3.063333333333333,0.43,0.5984349627174814,68.9,False
15-2051.02,Clinical Data Managers,3.8475,3.3742857142857146,2.9166666666666665,1.9975,1.22,2.7199999999999998,2.7516666666666665,0.52,0.5991272229822161,68.9,False
15-2099.00,"Mathematical Science Occupations, All Other",3.5324999999999998,3.16,2.731666666666667,1.7775,1.09,2.9350000000000005,2.518333333333334,0.57,0.5830588235294117,67.5,True
15-2099.01,Bioinformatics Technicians,3.5324999999999998,3.16,2.731666666666667,1.7775,1.09,2.9350000000000005,2.518333333333334,0.57,0.5830588235294117,67.5,False
15-1244.00,Network and Computer Systems Administrators,3.5324999999999998,3.4642857142857144,2.855,3.3449999999999998,2.815,2.9050000000000002,3.0833333333333335,0.37,0.5817213622291021,67.4,False
19-4061.00,Social Science Research Assistants,3.7199999999999998,3.0357142857142856,2.606666666666667,1.9975,1.095,2.685,2.481666666666667,0.57,0.57,66.4,False
15-1299.02,Geographic Information Systems Technologists and Technicians,3.5,2.9457142857142857,2.645,1.53,1.0625,2.4699999999999998,2.311666666666667,0.57,0.57,66.4,False
15-2041.00,Statisticians,3.8774999999999995,3.4299999999999997,2.543333333333333,1.47,1.0,3.25,2.48,0.63,0.5692020460358056,66.3,False
15-2041.01,Biostatisticians,3.94,3.6257142857142854,2.75,1.3725,1.125,3.4050000000000002,2.5816666666666666,0.6,0.5632020460358056,65.8,False
19-2012.00,Physicists,4.0925,3.7142857142857144,3.1233333333333335,2.1550000000000002,1.25,3.75,2.875,0.55,0.561268680445151,65.6,False
19-3022.00,Survey Researchers,4.0,3.2857142857142856,2.936666666666667,1.4675,1.0,2.5949999999999998,2.6233333333333335,0.55,0.55,64.6,False
19-3092.00,Geographers,3.9975,3.3371428571428576,2.9150000000000005,1.28,1.03,2.5025,2.561666666666667,0.55,0.55,64.6,False
43-3051.00,Payroll and Timekeeping Clerks,3.4675000000000002,2.607142857142857,2.48,1.375,1.0,1.8775,1.875,0.55,0.55,64.6,False
17-3022.00,Civil Engineering Technologists and Technicians,3.5324999999999998,3.0171428571428573,2.668333333333333,2.0925000000000002,1.03,2.5,2.5,0.55,0.55,64.6,False
25-1022.00,"Mathematical Science Teachers, Postsecondary",4.0,3.482857142857143,3.02,1.1875,1.0,2.5,2.393333333333334,0.55,0.55,64.6,False
17-2011.00,Aerospace Engineers,3.91,3.7685714285714282,3.0416666666666665,2.3449999999999998,1.0625,3.3125,2.7516666666666665,0.55,0.5464705882352942,64.2,False
19-2011.00,Astronomers,4.0925,3.5700000000000003,2.9566666666666666,1.72,1.28,3.1550000000000002,2.73,0.55,0.5422156862745099,63.9,False
19-3011.01,Environmental Economists,3.9050000000000002,3.41,2.9166666666666665,1.22,1.0,2.5025,2.893333333333334,0.54,0.54,63.6,False
19-3011.00,Economists,4.03,3.4971428571428573,2.9166666666666665,1.1875,1.0,2.375,2.518333333333334,0.54,0.54,63.6,False
